name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Gerhard Pehr Alopaeus;/wiki/Gerhard_Pehr_Alopaeus;;burgers;Mikkeli;;Q100784884;i-R8pmgSjrtL5RNu17k6YJJ8
Emil Frithiof Andersin;/wiki/Emil_Frithiof_Andersin;;burgers;Kuopio;;Q20736650;i-FXUQh967xLRCogeTYmdrCW
Oskar Backman;/wiki/Oskar_Backman;;burgers;Kotka;;Q106239220;i-P8ZyisnHJoEetVdab3w2LR
Johan Leonard Borgström;/wiki/Johan_Leonard_Borgstr%C3%B6m;;burgers;Helsinki;;;i-9sKLrfez1BQeoAsquLZ5Zh
Anders Herman Chydenius;/wiki/Anders_Herman_Chydenius;;burgers;Uusikaupunki;;Q5608838;i-mqFQ18ES1erLNMqHvDjc5
Ludvig Gustaf Leonhard Clouberg;/wiki/Ludvig_Gustaf_Leonhard_Clouberg;;burgers;Viipuri;;Q20736664;i-CGNfHCSmfYZ4tNvJeVzTTV
Ernst Dahlström;/wiki/Ernst_Dahlstr%C3%B6m;;burgers;Turku;;;i-Pvw9EBwj6b461Z2NzQEMrw
Rudolf Bernhard Elving;/wiki/Rudolf_Bernhard_Elving;;burgers;Maarianhamina;;Q17380142;i-4yVsDwH7PWREgHakxAnZUW
Waldemar Eneberg;/wiki/Waldemar_Eneberg;;burgers;Lappeenranta;;Q5711432;i-3nP8YuTqeTAw5agRhk1szM
Petter Edvard Ervast;/wiki/Petter_Edvard_Ervast;;burgers;Kajaani;;Q85989506;i-EYL9UZ7jUiPhk9qT9L4Gma
Karl Fabritius;/wiki/Karl_Fabritius;;burgers;Kuopio;;Q18688429;i-Hsgr383t4iizpwWFP77NxX
Axel Georg Henrik Grönvik;/wiki/Axel_Georg_Henrik_Gr%C3%B6nvik;;burgers;Turku;;;i-JwTjoz93HVQHyRNS5qpK9c
Herman Erik Gummerus;/wiki/Herman_Erik_Gummerus;;burgers;Sortavala;;Q23040453;i-5wGgfoitFJgsHxGLJqKGy6
Lars Johan Hammarén;/wiki/Lars_Johan_Hammar%C3%A9n;;burgers;Tampere;;;i-MJwirdyVsfeQa46rvEQmu8
Alfred Hedman;/wiki/Alfred_Hedman;;burgers;Kaskinen;;Q106239210;i-54r13ERSDzuTFF59pPjUaH
Felix Heikel;/wiki/Felix_Heikel;;burgers;Raahe;;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Richard Heimberger;/wiki/Richard_Heimberger;;burgers;Helsinki;;Q106239284;i-QJ1ZkTV7SwMpxh2ZB1Guar
August Vilhelm Helsingius;/wiki/August_Vilhelm_Helsingius;;burgers;Hämeenlinna;;Q98414082;i-J5WH196kdgSnwBG62938mv
Walter Hoving;/wiki/Walter_Hoving;;burgers;Viipuri;;Q106239274;i-4roc5uHbzAkspAR4dugTxs
K. J. Högman;/wiki/K._J._H%C3%B6gman;;burgers;Jyväskylä;;;i-PXuku1HofhxbHupjzJDbQt
K. E. F. Ignatius;/wiki/K._E._F._Ignatius;;burgers;Käkisalmi;;Q4355133;i-98bUS6KbiDMJMtzt7fuK1Z
Robert Junnelius;/wiki/Robert_Junnelius;;burgers;Pori;;Q106239204;i-DfoBXxWtHB1dPk3VFvEfhi
Lauri Kivekäs;/wiki/Lauri_Kivek%C3%A4s;;burgers;Tampere;;;i-Ssz6NPb9rMtK26HHXkXoyb
Lars Thiodolf Krogius;/wiki/Lars_Thiodolf_Krogius;;burgers;Naantali;;Q5923749;i-66ymQwCreeuuTbu7QJYwGA
Joachim Kurtén;/wiki/Joachim_Kurt%C3%A9n;puhemies;burgers;Vaasa;;;i-TMtBCHpVArrzqFRZ7UamYA
Axel Lille;/wiki/Axel_Lille;;burgers;Kokkola;;Q1974329;i-PsebhHbMPp7TojDsoDt1hW
Gustaf Adolf Lindblom;/wiki/Gustaf_Adolf_Lindblom;;burgers;Turku;;Q11860772;i-XW5vSkDhiDBuTQzpqfPxmM
Karl Johan Lund;/wiki/Karl_Johan_Lund;;burgers;Kristiinankaupunki;;Q101332452;i-4Z2hKQhRddVgP2niaVrbm3
Anders Johan Malmgren;/wiki/Anders_Johan_Malmgren;;burgers;Helsinki;;Q5973883;i-NDDsvs2KPqUENDma8QUX7J
Frans Edvard Molander;/wiki/Frans_Edvard_Molander;;burgers;Pori;;Q20255349;i-QtRE4wiVPvYZD95obdru7G
Frithiof Neovius;/wiki/Frithiof_Neovius;;burgers;Hamina;;Q6005343;i-5TSspidDoU2K2pXp226J2p
Frithiof Napoleon Neppenström;/wiki/Frithiof_Napoleon_Neppenstr%C3%B6m;;burgers;Joensuu;;;i-LnKGDyGvxDZZ7YsqPeHWDK
Anshelm Nordman;/wiki/Anshelm_Nordman;;burgers;Heinola;;Q106239201;i-LmMgV7SdqVNZjRdPMKRJ7T
Carl Nummelin;/wiki/Carl_Nummelin;;burgers;Tornio;;Q106239258;i-JFFd4ZuB8jwp2b9revhQqt
Karl Arvid Nyberg;/wiki/Karl_Arvid_Nyberg;;burgers;Loviisa;;Q101334101;i-DiRtoFeWwZgawSF374ZTgV
Fredrik Nybom;/wiki/Fredrik_Nybom;;burgers;Helsinki;;Q11860035;i-G6WXvp4m8PJWEz8kHykewM
Leonard von Pfaler;/wiki/Leonard_von_Pfaler;;burgers;Hanko;;Q17382937;i-J2CszrE3gkUiAQ8Qt52mWd
Georg Rosenius;/wiki/Georg_Rosenius;;burgers;Viipuri;;Q106239197;i-J2oB12cTydw9DLfUm3uYBN
Ernst Rönnbäck;/wiki/Ernst_R%C3%B6nnb%C3%A4ck;;burgers;Turku;;;i-KgjJCxbdt82hzHKsnYYkx4
Carl Gustaf Sanmark;/wiki/Carl_Gustaf_Sanmark;;burgers;Savonlinna;;Q98116426;i-7jLpb1DTcomASwUADLnGHQ
Emil Schybergson;/wiki/Emil_Schybergson;;burgers;Tammisaari;;Q11857805;i-EJMdBVXoPwci3WftmbWBr1
Julian Serlachius;/wiki/Julian_Serlachius;;burgers;Kemi;;Q6173019;i-EVfZBUkzrmkjLRX3mG1o3n
Albert Oskar Snellman;/wiki/Albert_Oskar_Snellman;;burgers;Oulu;;Q11850599;i-C7gacFwYKBuChyxT82r3YD
