name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Matti Pietinen;/wiki/Matti_Pietinen;;burgers;;Viipuri;Q17382941;i-5wge6QMG7pAdkdDzz7CEBh
Eduard Polón;/wiki/Eduard_Pol%C3%B3n;;burgers;;Helsinki;;i-YHMajQHP5NsMtjp6vqMN7v
Erkki Reijonen;/wiki/Erkki_Reijonen;;burgers;;Tampere;;i-WqCwSrRYdPbFEUgRi8a3PH
K. H. Renlund;/wiki/K._H._Renlund;;burgers;;Kokkola;;i-Ga4zhpKhZgMrwW6CEFhPKo
Heikki Renvall;/wiki/Heikki_Renvall;;burgers;;Savonlinna;Q4357064;i-7WDqJ36fmBcNsdEcPvvoFQ
Viktor Jedidjah Alfred Roos;/wiki/Viktor_Jedidjah_Alfred_Roos;;burgers;;Hanko;;i-9xUHPAc9cf8T1C3qtsfCqM
Mauno Rosendal;/wiki/Mauno_Rosendal;;burgers;;Oulu;Q6079717;i-WfaPXmrfKy2M88t7q4ZBr6
J. A. Salminen;/wiki/J._A._Salminen;;burgers;;Turku;;i-WjuDQ8j1vsSw67QvPoaiQn
Theodor Schwindt;/wiki/Theodor_Schwindt;;burgers;;Käkisalmi;;i-dUJ9Gu38LQ6ZmTrMYYQ6m
Emil Schybergson;/wiki/Emil_Schybergson;;burgers;;Helsinki;Q11857805;i-EJMdBVXoPwci3WftmbWBr1
Jakob Johannes Sederholm;/wiki/Jakob_Johannes_Sederholm;;burgers;;Helsinki;;i-EiiQ7Jz1v4GYGMTCiMv9Cm
Aleksander Sikio;/wiki/Aleksander_Sikio;;burgers;;Savonlinna;;i-Jx18MvGDAsWpLispqXsDvN
Fredrik Sundwall;/wiki/Fredrik_Sundwall;;burgers;;Tammisaari;;i-5g8WJnGMjg684X2dzwMr2J
Karl Söderholm;/wiki/Karl_S%C3%B6derholm;;burgers;;Helsinki;;i-6FmesMshK9tPHWFPZiuwp4
Aleksander Henrik Söderman;/wiki/Aleksander_Henrik_S%C3%B6derman;;burgers;;Uusikaupunki;;i-Tntgfg5AMMxYZi9wm5H9Eo
Otto Tuomi;/wiki/Otto_Tuomi;;burgers;;Kuopio;;i-GEJW1X9fTb76RGrRQT1Xr5
August Emil Konstantin Tötterman;/wiki/August_Emil_Konstantin_T%C3%B6tterman;;burgers;;Turku;;i-KCCsfGqPw6fxcvH1WdRibJ
Evert Woldemar Walldén;/wiki/Evert_Woldemar_Walld%C3%A9n;;burgers;;Helsinki;;i-65SvLz3peJAS3GfKEa4Jst
Theodor Wegelius;/wiki/Theodor_Wegelius;;burgers;;Helsinki;Q7781631;i-4aPM48yGQ361iaSozbN2rM
Kalle Viljakainen;/wiki/Kalle_Viljakainen;;burgers;;Tampere;Q17384649;i-Quofg7cvFSNhUVrVFqCsCJ
Gustaf Johannes Winter;/wiki/Gustaf_Johannes_Winter;;burgers;;Sortavala;;i-4dMDRGTmPntuwcs7LN9WhR
Eugen Wolff;/wiki/Eugen_Wolff;;burgers;;Viipuri;;i-FYjmCyuWucvpTGy2QzWpoP
Henrik Johan Wilhelm Zilliacus;/wiki/Henrik_Johan_Wilhelm_Zilliacus;;burgers;;Helsinki;;i-95kqLStAkf79wjFbzwvEWA
Knut Gustaf Åkesson;/wiki/Knut_Gustaf_%C3%85kesson;;burgers;;Vaasa;;i-EPiSDHWvRjVpP9ZBHuoPLi
Axel Ålenius;/wiki/Axel_%C3%85lenius;;burgers;;Turku;;i-33ykiPLUFubmKhcMAMuGRr
Elias Öhman;/wiki/Elias_%C3%96hman;;burgers;;Helsinki;;i-3vKiENeoA3CspmdF15oiTu
Herman Adlercreutz;/wiki/Herman_Adlercreutz_(valtiop%C3%A4iv%C3%A4mies);;nobility;;  ;;i-2TmKiLYSqwWZHXSS1TZEeE
Kristian von Alfthan;/wiki/Kristian_von_Alfthan;;nobility;;;Q5546475;i-8XNxnftYHEi8sGEojxrwPD
Adolf Aminoff;/wiki/Adolf_Aminoff_(1860%E2%80%931914);;nobility;;  ;;i-UDfLY4X7enJaiGPA89x5CJ
Alexander Aminoff;/wiki/Alexander_Aminoff_(valtiop%C3%A4iv%C3%A4mies);;nobility;;;;i-7Zm9aeNVo34bpWApDSSkmX
Axel Henrik Antell;/wiki/Axel_Henrik_Antell;;nobility;;;;i-CyA98HnR3uENykk8myABmW
Kasten Antell;/wiki/Kasten_Antell;;nobility;;;Q4405514;i-FdRfUaAkk5CYpd9Du8pbGa
Carl Alexander Armfelt;/wiki/Carl_Alexander_Armfelt;;nobility;;;;i-4c9Asm14jsJHGA4VeKgxVc
Erik Berg;/wiki/Erik_Berg;;nobility;;;Q89996214;i-3c3mMnWvqzrTpJhtECSCRN
Gösta Björkenheim;/wiki/G%C3%B6sta_Bj%C3%B6rkenheim;;nobility;;;;i-Qp7sJuXneZjAk13ibBY1Fi
Birger Fredrik af Björkesten;/wiki/Birger_Fredrik_af_Bj%C3%B6rkesten;;nobility;;;;i-MujcqCg7h5ho8MapFbhqsZ
Carl Ragnar af Björkesten;/wiki/Carl_Ragnar_af_Bj%C3%B6rkesten;;nobility;;;;i-6C4mGB67MVbR8ENmP4bBSw
Axel Waldemar af Björksten;/wiki/Axel_Waldemar_af_Bj%C3%B6rksten;;nobility;;;;i-AE2jQwCp42q2H3c7Yw4f16
Gustaf Ivar Blåfield;/wiki/Gustaf_Ivar_Bl%C3%A5field;;nobility;;;;i-PzVQ4YLaWeM7pNS6Ys5uUd
Valfrid August Vilhelm Blåfield;/wiki/Valfrid_August_Vilhelm_Bl%C3%A5field;;nobility;;;;i-SPwXEDwrmRhThsKjhJmzBQ
Constantin Boije af Gennäs;/wiki/Constantin_Boije_af_Genn%C3%A4s;;nobility;;;;i-KR84sJFFS2USNruSw4DL1V
Adolf von Bonsdorff;/wiki/Adolf_von_Bonsdorff;;nobility;;;;i-NZKAm3ErTL9hjBC4SPLuqU
Carl von Bonsdorff;/wiki/Carl_von_Bonsdorff;;nobility;;;;i-Tqp3j9qYioq4RaiA7DM5ac
Hjalmar Gabriel von Bonsdorff;/wiki/Hjalmar_Gabriel_von_Bonsdorff;;nobility;;;;i-HMYu9fE5ywoYGF6TqvESdP
John Waldemar von Bonsdorff;/wiki/John_Waldemar_von_Bonsdorff;;nobility;;;;i-AJPQWcxL1eHvoEv1DVLV5Y
Viktor Magnus von Born;/wiki/Viktor_Magnus_von_Born;maamarsalkka;nobility;;;Q3375796;i-L9kZxLhWCuQyLqDdMjfmwo
Thorsten Brakel;/wiki/Thorsten_Brakel;;nobility;;;;i-GqbRjbz9VGGWeqAzt5MnHd
Hans Henrik Brummer;/wiki/Hans_Henrik_Brummer;;nobility;;;;i-M2RVvJD7jgP4UzUVxXoUL5
Johan Wilhelm Brummer;/wiki/Johan_Wilhelm_Brummer;;nobility;;;;i-KuoWWMCGcGasD8NaD69C4c
Karl Wilhelm Bruncrona;/wiki/Karl_Wilhelm_Bruncrona;;nobility;;;;i-6D2GsjXreTSdsxx3MhRbND
