name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Axel Alfthan;/wiki/Axel_Alfthan;;burgers;Joensuu;;Q54834023;i-EebNEN3Fjuqo1eK2rRRv3X
Juhani Alin;/wiki/Juhani_Araj%C3%A4rvi;;burgers;Kotka;;;i-9bSw8ogaWR8y3VeYE83s1h
Ossian Ansas;/wiki/Ossian_Ansas;;burgers;Vaasa;;Q16161750;i-FXge12HBsdn8k5HAufzWpc
Viktor Bergman;/wiki/Viktor_Bergman;;burgers;Helsinki;;Q106323724;i-DSET3vjnWX2zKq1Tg2WY8p
Magnus Björklund;/wiki/Magnus_Bj%C3%B6rklund;;burgers;Kotka;;;i-2Ng5Yiz94qvSG22vZM58eP
T. J. Boisman;/wiki/T._J._Boisman;;burgers;Helsinki;;Q5407154;i-E842CxwFnJfAsu59UCBbji
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;Kristiinankaupunki;;;i-LcbKWGDpGm9XdVkcD4Yn4p
Arthur Castrén;/wiki/Arthur_Castr%C3%A9n;;burgers;Oulu;;;i-9oxDi4BqdVHRsvWRKNPpdt
Johannes Castrén;/wiki/Johannes_Castr%C3%A9n;;burgers;Mikkeli;;;i-NK34WfhpRdsDWxgtnU3RwV
Edvin Castrén;/wiki/Edvin_Castr%C3%A9n;;burgers;Kemi;;;i-U8Vqkv62s6s7Unu6nVAn1r
Axel Cederberg;/wiki/Axel_Cederberg;;burgers;Vaasa;;Q16168683;i-567gVPjPfpWGN2AoJtRfBW
Ludvig Gustaf Leonhard Clouberg;/wiki/Ludvig_Gustaf_Leonhard_Clouberg;;burgers;Helsinki;;Q20736664;i-CGNfHCSmfYZ4tNvJeVzTTV
Ernst Dahlström;/wiki/Ernst_Dahlstr%C3%B6m;;burgers;Turku;;;i-Pvw9EBwj6b461Z2NzQEMrw
John Dahlström;/wiki/John_Dahlstr%C3%B6m;;burgers;Porvoo;;;i-5p5n2oQzBFEtcLoN4697n7
Johan Teodor Durchman;/wiki/Johan_Teodor_Durchman;;burgers;Tampere;;Q97577422;i-5CfC1LDFZWPPXweSotWY4z
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;Helsinki;;Q5784271;i-7KxQWYRijD5jxcyYeme3uf
Artur Hammarström;/wiki/Artur_Hammarstr%C3%B6m;;burgers;Pori;;;i-G84CpMDMjw6dbrVWopd4X7
Felix Heikel;/wiki/Felix_Heikel;;burgers;Viipuri;;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Theodor August Heikel;/wiki/Theodor_August_Heikel;;burgers;Uusikaarlepyy;;Q11897371;i-AZnkerqXAUAGLvKWER21jf
Walter Heimbürger;/wiki/Walter_Heimb%C3%BCrger;;burgers;Helsinki;;;i-Y59h3ky8p4w3hRToAKqdFq
Niilo Helander;/wiki/Niilo_Helander;;burgers;Heinola;;Q17380688;i-4jWtzjmGyp5knhYQSbBe7D
Emil Holmberg;/wiki/Carl_Emil_Holmberg;;burgers;Helsinki;;Q3515784;i-49ShqpNVqE9Mj1PyubtqSe
Gustaf William Homén;/wiki/Gustaf_William_Hom%C3%A9n;;burgers;Viipuri;;;i-M3agL2duYbF7KZKer9417T
Oskar Hynén;/wiki/Karl_Oskar_Hynninen;;burgers;Rauma;;Q98116467;i-FHPAoTNLQBKMuyucj1d1H8
Gustaf Rudolf Idman;/wiki/Gustaf_Rudolf_Idman;;burgers;Tampere;;Q23698908;i-9hHPWbbtgznfxec4dGcfyM
K. E. F. Ignatius;/wiki/K._E._F._Ignatius;;burgers;Hämeenlinna;;Q4355133;i-98bUS6KbiDMJMtzt7fuK1Z
Herman Alexander Ingman;/wiki/Santeri_Ivalo;;burgers;Iisalmi;;Q4200624;i-E4eK7REWL1iRG4jFor7gae
Fredrik Jansson;/wiki/Fredrik_Jansson;;burgers;Helsinki;;Q106272574;i-PJieNR5tUWvJeBkxF7Dr9F
Julius Emerik Jansson;/wiki/Julius_Emerik_Jansson;;burgers;Maarianhamina;;Q106323718;i-Q5EydXH8qjLRMePzsPkUGU
August Artur Jusélius;/wiki/August_Artur_Jus%C3%A9lius;;burgers;Turku;;;i-9EfV4uzcskNg6eMDJmJWxf
Fritz Arthur Jusélius;/wiki/Fritz_Arthur_Jus%C3%A9lius;;burgers;Pori;;;i-Nxfsn5PHzYhH2DmBcoNnAc
Einar August Kalm;/wiki/Einar_August_Kalm;;burgers;Tornio;;Q61102753;i-8vaPG6C2FYVaveHA3TgTDk
J. K. Kari;/wiki/J._K._Kari;;burgers;Oulu;;Q12252252;i-uJPhM5gzTCASn1ihrkLtX
Aatami Hermanni Karvonen;/wiki/Aatami_Hermanni_Karvonen;;burgers;Helsinki;;Q6673487;i-K2JJZuWLxCRWCMyDuHPCrH
Kustaa Killinen;/wiki/Kustaa_Killinen;;burgers;Kuopio;;Q5403873;i-VUPS4htBc7spKyCvDEph4z
Kaarlo Kokkonen;/wiki/Kaarlo_Kokkonen;;burgers;Kajaani;;Q105432172;i-UBSoYX91VzS6A6UZDp8vNf
Lars Karl Krogius;/wiki/Lars_Karl_Krogius;;burgers;Helsinki;;Q5923756;i-VHc9ZxmKrE7rcDAopm7C9X
Ferdinand Alexander Kumlin;/wiki/Ferdinand_Alexander_Kumlin;;burgers;Turku;;Q11859493;i-fA2djVh863LMVCqsSn8im
Richard Labbart;/wiki/Richard_Labbart;;burgers;Pietarsaari;;Q106323719;i-9jtVjCnqH9JnweAna4Vvxn
Mikko Latva;/wiki/Mikko_Latva;;burgers;Pori;;Q17382097;i-14317JnQPTgWq1zhQNz5cf
Hugo Lilius;/wiki/Hugo_Lilius;puhemies;burgers;Helsinki;;Q13586011;i-PX1FwcYEjVrTLmnqUwwqS9
Johan Henrik Liljeroos;/wiki/Johan_Henrik_Liljeroos;;burgers;Tampere;;Q17382216;i-JwZs6TyeLcz34Vcak5vDpF
Heikki Lindroos;/wiki/Heikki_Lindroos;;burgers;Tampere;;Q17382239;i-5QyT7ZCgVopTZskW7iy7sW
Johan Fredrik Lundenius;/wiki/Johan_Fredrik_Lundenius;;burgers;Loviisa;;Q20379163;i-EYejvEUqeCVaatuY2xfRCa
Johannes Lundson;/wiki/Johannes_Lundson;;burgers;Lappeenranta;;Q391176;i-NxYVE3KzeNrGHSJrekxTNq
Albert Luoma;/wiki/Albert_Luoma;;burgers;Raahe;;Q11850593;i-MsAZiKUoJpJxkiXUKdN7nN
Isak Löf;/wiki/Isak_L%C3%B6f;;burgers;Kuopio;;;i-YXeh8drHhcpgyiwTRWGYQB
Gustaf Otto Mattsson;/wiki/Guss_Mattsson;;burgers;Kaskinen;;Q5979967;i-MDfAM83g7G9zW98usAVuS1
Antti Mikkola;/wiki/Antti_Mikkola;;burgers;Turku;;Q11852170;i-TyPEdHTUkNhatf9Qa8vJqR
Frans Oskar Möller;/wiki/Frans_Oskar_M%C3%B6ller;;burgers;Kuopio;;;i-3DCQUuckGm7CmAsdTRYLPZ
August Nybergh;/wiki/August_Nybergh;;burgers;Helsinki;;Q4355148;i-WHeNLun3hZkxgSCF9XBKKL
Walter Parviainen;/wiki/Walter_Parviainen;;burgers;Jyväskylä;;Q11902249;i-KVU77rhWXo9aDLh2ZiPF6L
Leonard von Pfaler;/wiki/Leonard_von_Pfaler;;burgers;Helsinki;;Q17382937;i-J2CszrE3gkUiAQ8Qt52mWd
Matti Pietinen;/wiki/Matti_Pietinen;;burgers;Viipuri;;Q17382941;i-5wge6QMG7pAdkdDzz7CEBh
Eduard Polón;/wiki/Eduard_Pol%C3%B3n;;burgers;Helsinki;;;i-YHMajQHP5NsMtjp6vqMN7v
K. H. Renlund;/wiki/K._H._Renlund;;burgers;Kokkola;;Q6068009;i-Ga4zhpKhZgMrwW6CEFhPKo
Heikki Renvall;/wiki/Heikki_Renvall;;burgers;Savonlinna;;Q4357064;i-7WDqJ36fmBcNsdEcPvvoFQ
Viktor Rydman;/wiki/Victor_Magnus_Rydman;;burgers;Naantali;;Q106323722;i-4QDeS1k11PYNpY3RaZBkBL
J. A. Salminen;/wiki/J._A._Salminen;;burgers;Turku;;Q17383717;i-WjuDQ8j1vsSw67QvPoaiQn
Erik Wilhelm Savón;/wiki/Erik_Wilhelm_Sav%C3%B3n;;burgers;Uusikaupunki;;;i-4TRQBc1LrNtRR6LsG2cKFz
