name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Frans Alfrid Aejmelaeus;/wiki/Frans_Alfrid_Aejmelaeus;;burgers;;Jyväskylä;;i-Q6qBz6peRTuLmwUG9fGTUi
Oscar Wilhelm Andstén;/wiki/Oscar_Wilhelm_Andst%C3%A9n;;burgers;;Maarianhamina;;i-P5yxBbcUYC7ESsTCmTiwPG
Emanuel Berner;/wiki/Emanuel_Saloheimo;;burgers;;Mikkeli;;i-Vquuv2Q1nBy3xPM3DXsFHJ
T. J. Boisman;/wiki/T._J._Boisman;;burgers;;Hamina;;i-E842CxwFnJfAsu59UCBbji
Carl Ferdinand Borenius;/wiki/Carl_Ferdinand_Borenius;;burgers;;Viipuri;;i-WEteKry32GJE2GnMiyXxih
Petter Adolf Brofeldt;/wiki/Petter_Adolf_Brofeldt;;burgers;;Hämeenlinna;;i-T1yiXmDGyDLcG1pnW8cW3f
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;;Kristiinankaupunki;;i-LcbKWGDpGm9XdVkcD4Yn4p
Ernst Dahlström;/wiki/Ernst_Dahlstr%C3%B6m;;burgers;;Turku;;i-Pvw9EBwj6b461Z2NzQEMrw
Theodor Leopold Eck;/wiki/Theodor_Leopold_Eck;;burgers;;Pori;;i-MBAhp3QGsu4xyQ6tjvHiC7
Frans Viktor Eriksson;/wiki/Frans_Viktor_Eriksson;;burgers;;Vaasa;;i-WvyDUpkmCVdzKarM1fgrCN
Eero Erkko;/wiki/Eero_Erkko;;burgers;;Tampere;Q4119026;i-7r2DHZ8fkniPeRQbBRGNbv
Carl Federley;/wiki/Carl_Federley;;burgers;;Helsinki;;i-J4VesWHSy7vjipBi6XD4Hw
Arvid Thorsten Birger Genetz;/wiki/Arvid_Thorsten_Birger_Genetz;;burgers;;Sortavala;;i-6G9DjpxbMbfYHpZqppkoPx
Atle Genetz;/wiki/Atle_Genetz;;burgers;;Tampere;;i-2JpLXsMwopWLZqb1nASqEs
Hjalmar Johan Gabriel Grahn;/wiki/Hjalmar_Johan_Gabriel_Grahn;;burgers;;Kotka;;i-9T67JZDMoYXjzwrS37CBea
Fredrik Edvard Grönroos;/wiki/Fredrik_Edvard_Gr%C3%B6nroos;;burgers;;Raahe;;i-HbssPjwFZEsothhGDbLv7
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;;Helsinki;;i-7KxQWYRijD5jxcyYeme3uf
Felix Heikel;/wiki/Felix_Heikel;;burgers;;Viipuri;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Richard Heimberger;/wiki/Richard_Heimberger;;burgers;;Helsinki;;i-QJ1ZkTV7SwMpxh2ZB1Guar
August Herckman;/wiki/August_Herckman;;burgers;;Kuopio;;i-XTm7WfMb8Qz55wD74N5o4P
August Hjelt;/wiki/August_Hjelt;;burgers;;Heinola;Q4355143;i-Tyx5Yj2Vx6u9mvdwtU9AKF
Johan Arvid Hjorth;/wiki/Johan_Arvid_Hjorth;;burgers;;Pori;;i-3hQah5EqNFdwtunyrvFwuo
Axel Holmberg;/wiki/Axel_Holmberg;;burgers;;Helsinki;;i-EkuqrxiDLYkN7w8kVEcEKx
Emil Holmberg;/wiki/Carl_Emil_Holmberg;;burgers;;Loviisa;;i-49ShqpNVqE9Mj1PyubtqSe
Gustaf Rudolf Idman;/wiki/Gustaf_Rudolf_Idman;;burgers;;Tampere;;i-9hHPWbbtgznfxec4dGcfyM
