name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Frans Alfrid Aejmelaeus;/wiki/Frans_Alfrid_Aejmelaeus;;burgers;Jyväskylä;;;i-Q6qBz6peRTuLmwUG9fGTUi
Antti Ahlström;/wiki/Antti_Ahlstr%C3%B6m;;burgers;Pori;;;i-Lw36bGs76KQaSTfdhJeosz
Gerhard Pehr Alopaeus;/wiki/Gerhard_Pehr_Alopaeus;;burgers;Mikkeli;;;i-R8pmgSjrtL5RNu17k6YJJ8
Akseli Andersson;/wiki/Akseli_Andersson;;burgers;Heinola;;;i-uaf9jg3i5ZVHXz8W9JcaM
Oscar Wilhelm Andstén;/wiki/Oscar_Wilhelm_Andst%C3%A9n;;burgers;Maarianhamina;;;i-P5yxBbcUYC7ESsTCmTiwPG
Otto Immanuel Appelberg;/wiki/Otto_Immanuel_Appelberg;;burgers;Kotka;;;i-DSjrPP1Ub5W9gAqYsTTrAh
Karl Gustaf Berg;/wiki/Karl_Gustaf_Berg;;burgers;Sortavala;;;i-Lch3o2YJ8cMMwJUB46sQcL
Carl Ferdinand Borenius;/wiki/Carl_Ferdinand_Borenius;;burgers;Viipuri;;;i-WEteKry32GJE2GnMiyXxih
Alfred Burman;/wiki/Alfred_Burman;;burgers;Vaasa;;;i-RT3U6VrgfFvTbEBaT1WU4Q
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;Kristiinankaupunki;;;i-LcbKWGDpGm9XdVkcD4Yn4p
Kaarlo Castrén;/wiki/Kaarlo_Castr%C3%A9n;;burgers;Tornio;;;i-tmNmmQ5iKubJrqgCeZYdn
Axel Cronvall;/wiki/Axel_Cronvall;;burgers;Turku;;;i-FiibtiyGJPryBr7nBGLj5b
Konrad Dahlström;/wiki/Konrad_Dahlstr%C3%B6m;;burgers;Oulu;;;i-4prFPBEjPh1Dck1Z3hBCHK
Rudolf Bernhard Elving;/wiki/Rudolf_Bernhard_Elving;;burgers;Loviisa;;;i-4yVsDwH7PWREgHakxAnZUW
Rudolf Erenius;/wiki/Rudolf_Erenius;;burgers;Naantali;;;i-5PcgiwA1qrtSSB6nygYn7e
Eero Erkko;/wiki/Eero_Erkko;;burgers;Savonlinna;;Q4119026;i-7r2DHZ8fkniPeRQbBRGNbv
Carl Federley;/wiki/Carl_Federley;;burgers;Helsinki;;;i-J4VesWHSy7vjipBi6XD4Hw
Atle Genetz;/wiki/Atle_Genetz;;burgers;Tampere;;;i-2JpLXsMwopWLZqb1nASqEs
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;Helsinki;;;i-7KxQWYRijD5jxcyYeme3uf
Felix Heikel;/wiki/Felix_Heikel;;burgers;Viipuri;;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Richard Heimberger;/wiki/Richard_Heimberger;;burgers;Helsinki;;;i-QJ1ZkTV7SwMpxh2ZB1Guar
August Herckman;/wiki/August_Herckman;;burgers;Kuopio;;;i-XTm7WfMb8Qz55wD74N5o4P
Axel Holmberg;/wiki/Axel_Holmberg;;burgers;Helsinki;;;i-EkuqrxiDLYkN7w8kVEcEKx
