name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Antti Ahlström;/wiki/Antti_Ahlstr%C3%B6m;;burgers;Pori;Pori;;i-Lw36bGs76KQaSTfdhJeosz
August Bade;/wiki/August_Bade;;burgers;Helsinki;Helsinki;Q23870436;i-EkbZcKC1cxicmSNQdsofep
Karl Gustaf Berg;/wiki/Karl_Gustaf_Berg;;burgers;Sortavala;Sortavala;Q58073019;i-Lch3o2YJ8cMMwJUB46sQcL
Edvard Bergh;/wiki/Edvard_Bergh;;burgers;Helsinki;Helsinki;Q5572052;i-N2PwTvXjXUdT9dRHeMawYq
Karl Johan Alfred Björkstén;/wiki/Karl_Johan_Alfred_Bj%C3%B6rkst%C3%A9n;;burgers;Loviisa;Loviisa;;i-X34Zne89V23zWXu6gQymw6
Sune Birger Johan af Björkesten;/wiki/Sune_Birger_Johan_af_Bj%C3%B6rkesten;;burgers;Viipuri;Viipuri;;i-EdapCdTq9Y7JEMnMSf5nWS
Johan Leonard Borgström;/wiki/Johan_Leonard_Borgstr%C3%B6m;;burgers;Tammisaari ja Heinola;Tammisaari ja Heinola;;i-9sKLrfez1BQeoAsquLZ5Zh
Karl Johan Boström;/wiki/Karl_Johan_Bostr%C3%B6m;;burgers;Tornio;Tornio;;i-EqxJvEcFn3pmNPchjvzb9a
Ernst Albert Gustaf Brander;/wiki/Ernst_Albert_Gustaf_Brander;;burgers;Kokkola;Kokkola;Q102968763;i-AZxxB54asACcX6sEP5PAsm
Anders Herman Chydenius;/wiki/Anders_Herman_Chydenius;;burgers;Kajaani;Kajaani;Q5608838;i-mqFQ18ES1erLNMqHvDjc5
Robert Ek;/wiki/Robert_Ek;;burgers;Hamina;Hamina;Q102666560;i-yGjMXojJJYe9shNXsrD3N
Karl Fabritius;/wiki/Karl_Fabritius;;burgers;Kuopio;Kuopio;Q18688429;i-Hsgr383t4iizpwWFP77NxX
Hugo Ferdinand Forss;/wiki/Hugo_Ferdinand_Forss;;burgers;Savonlinna;Savonlinna;Q101034212;i-BrKJnQtih3hhFEfYd26FMg
Alexander Reinhold Frey;/wiki/Alexander_Reinhold_Frey;puhemies;burgers;Viipuri;Viipuri;Q17380292;i-5WuVXuwKbML14xudb51yD9
Julius Fredrik Gadd;/wiki/Julius_Fredrik_Gadd;;burgers;Helsinki;Helsinki;Q102667659;i-M8GjBiWjFex38AaKPzEaZj
Lars Johan Hammarén;/wiki/Lars_Johan_Hammar%C3%A9n;;burgers;Tampere;Tampere;;i-MJwirdyVsfeQa46rvEQmu8
August Vilhelm Helsingius;/wiki/August_Vilhelm_Helsingius;;burgers;Hämeenlinna;Hämeenlinna;Q98414082;i-J5WH196kdgSnwBG62938mv
Herman Peter Höckert;/wiki/Herman_Peter_H%C3%B6ckert;;burgers;Turku;Turku;;i-EKgsdWUKkNjoMZSd54c91Q
K. E. F. Ignatius;/wiki/K._E._F._Ignatius;;burgers;Kaskinen;Kaskinen;Q4355133;i-98bUS6KbiDMJMtzt7fuK1Z
August Fredrik Jansson;/wiki/August_Fredrik_Jansson;;burgers;Helsinki;Helsinki;Q104188766;i-VbijbarJj8Cbtn5pJgYV5x
Lars Thiodolf Krogius;/wiki/Lars_Thiodolf_Krogius;;burgers;Naantali;Naantali;Q5923749;i-66ymQwCreeuuTbu7QJYwGA
Joachim Kurtén;/wiki/Joachim_Kurt%C3%A9n;;burgers;Vaasa;Vaasa;;i-TMtBCHpVArrzqFRZ7UamYA
Adolf Fredrik Liljeros;/wiki/Adolf_Fredrik_Liljeros;;burgers;Uusikaupunki;Uusikaupunki;Q106223936;i-Mz9aBz5SdW9X6Q9PVDD5SJ
Abdon Alfred Fredrik Lindberg;/wiki/Abdon_Alfred_Fredrik_Lindberg;;burgers;Lappeenranta ja Käkisalmi;Lappeenranta ja Käkisalmi;Q102076980;i-DGGHbV8Jc5iYsn2a5HmaYT
Gustaf Adolf Lindblom;/wiki/Gustaf_Adolf_Lindblom;;burgers;Turku;Turku;Q11860772;i-XW5vSkDhiDBuTQzpqfPxmM
Lorenz Lindelöf;/wiki/Lorenz_Lindel%C3%B6f;;burgers;Uusikaarlepyy;Uusikaarlepyy;;i-TeVreJTGDQcrpSivfqbBtE
Gabriel Johan Masalin;/wiki/Gabriel_Johan_Masalin;;burgers;Mikkeli;Mikkeli;Q103841120;i-9TfojbbARyc5sts1fzmS22
Frans Edvard Molander;/wiki/Frans_Edvard_Molander;;burgers;Pori;Pori;Q20255349;i-QtRE4wiVPvYZD95obdru7G
Fredrik Nybom;/wiki/Fredrik_Nybom;;burgers;Helsinki;Helsinki;Q11860035;i-G6WXvp4m8PJWEz8kHykewM
Karl Woldemar Nystén;/wiki/Karl_Woldemar_Nyst%C3%A9n;;burgers;Raahe;Raahe;;i-Jr2SFQgBkXgyjAF3xM224e
Johan Alfred Nystén;/wiki/Johan_Alfred_Nyst%C3%A9n;;burgers;Joensuu ja Kajaani;Joensuu ja Kajaani;;i-QC5Cyy3W7sCFLULXRbi4Rm
Lars Berndt Olsoni;/wiki/Lars_Berndt_Olsoni;;burgers;Oulu;Oulu;Q102182354;i-HgEbezgGdxazEcJNm1Kus4
Fredrik Vilhelm Procopé;/wiki/Fredrik_Vilhelm_Procop%C3%A9;;burgers;Tampere;Tampere;;i-VBL3djAMpwMaHec7e4MQ7J
Robert Rissanen;/wiki/Robert_Rissanen;;burgers;Kuopio;Kuopio;Q106239334;i-9vuvSe6iaLrwXwh2hAz1V6
Carl Gustaf Sanmark;/wiki/Carl_Gustaf_Sanmark;;burgers;Kemi;Kemi;Q98116426;i-7jLpb1DTcomASwUADLnGHQ
Albert Oskar Snellman;/wiki/Albert_Oskar_Snellman;;burgers;Oulu;Oulu;Q11850599;i-C7gacFwYKBuChyxT82r3YD
Adolf Albin Sopanen;/wiki/Adolf_Albin_Sopanen;;burgers;Savonlinna;Savonlinna;Q106223951;i-RqAPAC7S2CX7e35kDsECyi
Gabriel Tengström;/wiki/Gabriel_Tengstr%C3%B6m;;burgers;Pietarsaari;Pietarsaari;;i-EDqv7TisA5PjGhg4drrxvt
Frans August Törnroth;/wiki/Frans_August_T%C3%B6rnroth;;burgers;Rauma;Rauma;;i-9o6BZDKt1PPEyqAU5GBdFF
Gustaf Törnudd;/wiki/Gustaf_T%C3%B6rnudd;;burgers;Viipuri;Viipuri;;i-FdRKYW6mapQK8J9mxSmBVd
Georg Wallgren;/wiki/Georg_Wallgren;puhemies;burgers;Porvoo;Porvoo;Q11860381;i-QEfPLQGwwVw7e6SHKhBgS7
Otto Samuel Wendelin;/wiki/Otto_Samuel_Wendelin;;burgers;Kristiinankaupunki;Kristiinankaupunki;;i-3azMqGSRVZPNhg24uDkjHa
Carl Eugen Åberg;/wiki/Carl_Eugen_%C3%85berg;;burgers;Porvoo;Porvoo;;i-MXYA6mu4YEKfDVYKu42SUN
Viktor Wilhelm Öhberg;/wiki/Viktor_Wilhelm_%C3%96hberg;;burgers;Maarianhamina;Maarianhamina;;i-n3GLRgqXQXNFmkzaGwSPW
Carl Adolf Öhrnberg;/wiki/Carl_Adolf_%C3%96hrnberg;varapuhemies;burgers;Helsinki;Helsinki;;i-QE8zNVMp9Xs7sAfD5qKxFo
Georg von Alfthan;/wiki/Georg_von_Alfthan;;nobility;;;Q4063673;i-7Fgy1eMvbaMXrGoDJTECv5
Adolf Aminoff;/wiki/Adolf_Aminoff_(1806%E2%80%931884);;nobility;;;;i-Pfw4BTaDP6k2iypU8dU681
Johan Fredrik Aminoff;/wiki/Johan_Fredrik_Aminoff_(1847%E2%80%931892);;nobility;;;;i-6G56mBx8y9Bfr5Rh3Rq66j
Torsten Johan Aminoff;/wiki/Torsten_Johan_Aminoff;;nobility;;;Q107400151;i-TvLg6gRhrHwFWkKK9i4FYA
Edvard Reinhold von Ammondt;/wiki/Edvard_Reinhold_von_Ammondt;;nobility;;;Q4064426;i-WgDPTcF2uez6JDVfYnxVob
Kasten Antell;/wiki/Kasten_Antell;;nobility;;;Q4405514;i-FdRfUaAkk5CYpd9Du8pbGa
August Magnus Gustaf Armfelt;/wiki/August_Magnus_Gustaf_Armfelt;;nobility;;;Q11853366;i-GAtn7bERdoirMx4xRthNqz
Gustaf Vilhelm Arthur Armfelt;/wiki/Gustaf_Vilhelm_Arthur_Armfelt;;nobility;;;Q85986829;i-7gtxYc7PAsEZ3WK26gsMQF
Mauritz Wladimir Armfelt;/wiki/Mauritz_Wladimir_Armfelt;;nobility;;;Q107750236;i-ByV3q8UYJxZUcqKajsXRpC
Adolf Edvard Arppe;/wiki/Adolf_Edvard_Arppe;;nobility;;;Q5560067;i-M1GkpKKam2WhRvDxjE48Yx
Adolf von Becker;/wiki/Adolf_von_Becker;;nobility;;;Q4115633;i-URXcmK1gDqhAUAqzy1YSPi
Frans Josef von Becker;/wiki/Frans_Josef_von_Becker;;nobility;;;Q5568264;i-6cWDpivCCHx8nsC26q3ZfQ
Edvard Ferdinand Bergenheim;/wiki/Edvard_Bergenheim_(insin%C3%B6%C3%B6ri);insinööri;nobility;;;;i-Uz9hQVsckk2g776TVJEiWa
August Bergenstråhle;/wiki/August_Bergenstr%C3%A5hle;;nobility;;;;i-XTNab9aPye5VciPF4orRsR
Axel Björkenheim;/wiki/Axel_Bj%C3%B6rkenheim;;nobility;;;;i-REsb3HRKixELb2Qs7KmBoM
Robert Björkenheim;/wiki/Robert_Bj%C3%B6rkenheim;;nobility;;;;i-QrXbUARX3WXzHQ9txYadDP
Axel Gabriel af Björksten;/wiki/Axel_Gabriel_af_Bj%C3%B6rksten;;nobility;;;;i-RcSCmpxriPBQokni59zaX1
Karl Emil Blåfield;/wiki/Karl_Emil_Bl%C3%A5field;;nobility;;;;i-8nqjfZLHyegX2pFxRfwsvf
Hans Gustaf Boije;/wiki/Hans_Gustaf_Boije;;nobility;;;Q11861473;i-ChuomtmkLkdJ7EejCZL8M7
Karl Anders Herman Boije af Gennäs;/wiki/Karl_Anders_Herman_Boije_af_Genn%C3%A4s;;nobility;;;;i-9FZDduUZPKfxMMbkLVwAqa
Alfred Oskar von Bonsdorff;/wiki/Alfred_Oskar_von_Bonsdorff;;nobility;;;Q107968779;i-AYiV7HbSDVG5jNgjNsg7Z8
Hjalmar Erik Gabriel von Bonsdorff;/wiki/Hjalmar_Erik_Gabriel_von_Bonsdorff;;nobility;;;Q107918125;i-GjXymzvmVbXvMvSnsXEVDh
Johan August von Born;/wiki/Johan_August_von_Born;maamarsalkka;nobility;;;Q5582751;i-VbQi5D8Ho9a1gwVtHWXrrt
Viktor Magnus von Born;/wiki/Viktor_Magnus_von_Born;;nobility;;;Q3375796;i-L9kZxLhWCuQyLqDdMjfmwo
