name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Gerhard Pehr Alopaeus;/wiki/Gerhard_Pehr_Alopaeus;;burgers;;Mikkeli;;i-R8pmgSjrtL5RNu17k6YJJ8
Emil Frithiof Andersin;/wiki/Emil_Frithiof_Andersin;;burgers;;Kuopio;;i-FXUQh967xLRCogeTYmdrCW
Oscar Wilhelm Andstén;/wiki/Oscar_Wilhelm_Andst%C3%A9n;;burgers;;Maarianhamina;;i-P5yxBbcUYC7ESsTCmTiwPG
Ossian Bergbom;/wiki/Ossian_Wuorenheimo;;burgers;;Tampere;Q1703242;i-SqM5eM5mRQL5Ezs1SSYeE
Johan Leonard Borgström;/wiki/Johan_Leonard_Borgstr%C3%B6m;;burgers;;Helsinki;;i-9sKLrfez1BQeoAsquLZ5Zh
Alfred Burman;/wiki/Alfred_Burman;;burgers;;Vaasa;;i-RT3U6VrgfFvTbEBaT1WU4Q
Georg Henrik Calonius;/wiki/Georg_Henrik_Calonius;;burgers;;Viipuri;;i-JLX8xK6Rhi1zuYvtz9WxNx
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;;Kristiinankaupunki;;i-LcbKWGDpGm9XdVkcD4Yn4p
Anders Herman Chydenius;/wiki/Anders_Herman_Chydenius;;burgers;;Tornio;;i-mqFQ18ES1erLNMqHvDjc5
Ludvig Gustaf Leonhard Clouberg;/wiki/Ludvig_Gustaf_Leonhard_Clouberg;;burgers;;Viipuri;;i-CGNfHCSmfYZ4tNvJeVzTTV
Ernst Dahlström;/wiki/Ernst_Dahlstr%C3%B6m;;burgers;;Turku;;i-Pvw9EBwj6b461Z2NzQEMrw
Rudolf Bernhard Elving;/wiki/Rudolf_Bernhard_Elving;;burgers;;Helsinki;;i-4yVsDwH7PWREgHakxAnZUW
Waldemar Eneberg;/wiki/Waldemar_Eneberg;;burgers;;Lappeenranta;;i-3nP8YuTqeTAw5agRhk1szM
Petter Edvard Ervast;/wiki/Petter_Edvard_Ervast;;burgers;;Kajaani;;i-EYL9UZ7jUiPhk9qT9L4Gma
Isak Fellman;/wiki/Isak_Fellman;;burgers;;Kemi;;i-8TL8oDdwcv5Rfdi8UttB5v
Valentin Gummerus;/wiki/Valentin_Gummerus;;burgers;;Käkisalmi;;i-S3GuL4uWXYcmpjmQUj9PCt
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;;Helsinki;;i-7KxQWYRijD5jxcyYeme3uf
Robert Hartman;/wiki/Robert_Hartman;;burgers;;Uusikaupunki;;i-MZzLK6ceKqS79rLo8ueo9E
Alarik Hasselblatt;/wiki/Alarik_Hasselblatt;;burgers;;Oulu;;i-VyRQHiuU325bocyuNaMNwp
Alfred Hedman;/wiki/Alfred_Hedman;;burgers;;Kaskinen;;i-54r13ERSDzuTFF59pPjUaH
Felix Heikel;/wiki/Felix_Heikel;;burgers;;Pietarsaari;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Richard Heimberger;/wiki/Richard_Heimberger;;burgers;;Helsinki;;i-QJ1ZkTV7SwMpxh2ZB1Guar
August Herckman;/wiki/August_Herckman;;burgers;;Kuopio;;i-XTm7WfMb8Qz55wD74N5o4P
Walter Hoving;/wiki/Walter_Hoving;;burgers;;Viipuri;Q7965175;i-4roc5uHbzAkspAR4dugTxs
K. J. Högman;/wiki/K._J._H%C3%B6gman;;burgers;;Jyväskylä;;i-PXuku1HofhxbHupjzJDbQt
August Ferdinand Juselius;/wiki/August_Ferdinand_Juselius;;burgers;;Turku;;i-DdvHcgdBbdRimFMB8LiyD9
Joachim Kurtén;/wiki/Joachim_Kurt%C3%A9n;puhemies;burgers;;Vaasa;;i-TMtBCHpVArrzqFRZ7UamYA
Axel Lille;/wiki/Axel_Lille;;burgers;;Kokkola;Q1974329;i-PsebhHbMPp7TojDsoDt1hW
Gustaf Adolf Lindblom;/wiki/Gustaf_Adolf_Lindblom;;burgers;;Turku;;i-XW5vSkDhiDBuTQzpqfPxmM
Viktor Löfgren;/wiki/Viktor_Lounasmaa;;burgers;;Heinola;;i-7yK1RckJEeJLB92G95c3Gp
Frans Edvard Molander;/wiki/Frans_Edvard_Molander;;burgers;;Pori;;i-QtRE4wiVPvYZD95obdru7G
Frithiof Neovius;/wiki/Frithiof_Neovius;;burgers;;Hamina;;i-5TSspidDoU2K2pXp226J2p
Frithiof Napoleon Neppenström;/wiki/Frithiof_Napoleon_Neppenstr%C3%B6m;;burgers;;Joensuu;;i-LnKGDyGvxDZZ7YsqPeHWDK
Juho Nissinen;/wiki/Juho_Nissinen;;burgers;;Naantali;;i-SDx8XWaQ1pBA9gKiPinHpP
Karl Arvid Nyberg;/wiki/Karl_Arvid_Nyberg;;burgers;;Loviisa;;i-DiRtoFeWwZgawSF374ZTgV
Leonard von Pfaler;/wiki/Leonard_von_Pfaler;;burgers;;Hanko;;i-J2CszrE3gkUiAQ8Qt52mWd
K.  H.  Renlund;/wiki/K._H._Renlund;;burgers;;Helsinki;;i-Ga4zhpKhZgMrwW6CEFhPKo
Ernst Rönnbäck;/wiki/Ernst_R%C3%B6nnb%C3%A4ck;;burgers;;Turku;;i-KgjJCxbdt82hzHKsnYYkx4
Carl Gustaf Sanmark;/wiki/Carl_Gustaf_Sanmark;;burgers;;Savonlinna;;i-7jLpb1DTcomASwUADLnGHQ
Emil Schybergson;/wiki/Emil_Schybergson;;burgers;;Tammisaari;Q11857805;i-EJMdBVXoPwci3WftmbWBr1
Albert Oskar Snellman;/wiki/Albert_Oskar_Snellman;;burgers;;Oulu;;i-C7gacFwYKBuChyxT82r3YD
Gustaf Ferdinand Snellman;/wiki/Gustaf_Ferdinand_Snellman;;burgers;;Raahe;;i-762s2i38qoq51A37VdxZFK
Johan Josef Stenbäck;/wiki/Johan_Josef_Stenb%C3%A4ck;;burgers;;Vaasa;;i-3qQ2rqBSKFC1Nnf3bj8fKb
Johan Strömberg;/wiki/Johan_Str%C3%B6mberg_(valtiop%C3%A4iv%C3%A4mies);;burgers;Hämeenlinna;;;i-2znFq4zFPRn3Y3XsTtU4CK
Karl Wilhelm Sulin;/wiki/Karl_Wilhelm_Sulin;;burgers;;Turku;;i-7zrSCjdsCXYncQRKdZRTxq
Frans Sumelius;/wiki/Frans_Sumelius;;burgers;;Tampere;;i-LfjijKcu6wrjy8uVqHyVJp
J. W. Söderlund;/wiki/J._W._S%C3%B6derlund;;burgers;;Rauma;;i-WtbprdVHLEQzfY1r3J5vvD
Theodor Tallqvist;/wiki/Theodor_Tallqvist_(insin%C3%B6%C3%B6ri);;burgers;Kotka;;;i-SzT9Ti41fPxiEJHVPCHzAT
Carl Fredrik Tojkander;/wiki/Carl_Fredrik_Tojkander;;burgers;;Porvoo;;i-63KqkF6arwqNKP67oDuFkp
Karl Fredrik Walle;/wiki/Karl_Fredrik_Walle;;burgers;;Pori;;i-iS8LzzYMsoqMTRxq4iVRK
Adolf Wasenius;/wiki/Adolf_Wasenius;;burgers;;Helsinki;;i-9vkyMVcmbACmYXjiobcPPP
C. W.  Åkerlund;/wiki/C._W._%C3%85kerlund;;burgers;;Tampere;;i-2Lagjiv4piKgWYsSBqwUKU
Albert Öberg;/wiki/Albert_%C3%96berg;;burgers;;Uusikaarlepyy;;i-NUC4AmXjZ5KaMtPNfqBxhQ
Viktor Wilhelm Öhberg;/wiki/Viktor_Wilhelm_%C3%96hberg;;burgers;;Helsinki;;i-n3GLRgqXQXNFmkzaGwSPW
Elias Öhman;/wiki/Elias_%C3%96hman;;burgers;;Helsinki;;i-3vKiENeoA3CspmdF15oiTu
Georg von Alfthan;/wiki/Georg_von_Alfthan;;nobility;;;;i-7Fgy1eMvbaMXrGoDJTECv5
Adolf Kasimir Aminoff;/wiki/Adolf_Kasimir_Aminoff;;nobility;;;;i-USB6cv2Fm7N5MmQfNLSvT5
Johan Fredrik Gustav Aminoff;/wiki/Johan_Fredrik_Gustav_Aminoff;;nobility;;;;i-ASEDaBg8bCZ47EA2Ncmhc5
Torsten Johan Aminoff;/wiki/Torsten_Johan_Aminoff;;nobility;;;;i-TvLg6gRhrHwFWkKK9i4FYA
Axel Henrik Antell;/wiki/Axel_Henrik_Antell;;nobility;;;;i-CyA98HnR3uENykk8myABmW
Kasten Antell;/wiki/Kasten_Antell;;nobility;;;Q4405514;i-FdRfUaAkk5CYpd9Du8pbGa
Mauritz Wladimir Armfelt;/wiki/Mauritz_Wladimir_Armfelt;;nobility;;;;i-ByV3q8UYJxZUcqKajsXRpC
Adolf Edvin Arppe;/wiki/Adolf_Edvin_Arppe;;nobility;;;;i-QcNomwuvdVFymGu4tEokDW
Adolf von Becker;/wiki/Adolf_von_Becker;;nobility;;;Q4115633;i-URXcmK1gDqhAUAqzy1YSPi
Adolf Edvard Björkenheim;/wiki/Adolf_Edvard_Björkenheim;;nobility;;;;i-CFM4Fw2rCrVGNA1oeR3pqL
Robert Severin af Björksten;/wiki/Robert_Severin_af_Björksten;;nobility;;;;i-SW1vHpQ8FCcrVNRvfdz5ft
Theodor Frithiof Blåfield;/wiki/Theodor_Frithiof_Blåfield;;nobility;;;;i-GhLcAkdgUqnsq7PwR6e8fZ
Hans Gustaf Boije;/wiki/Hans_Gustaf_Boije;varamaamarsalkka;nobility;;;;i-ChuomtmkLkdJ7EejCZL8M7
Constantin Boije af Gennäs;/wiki/Constantin_Boije_af_Gennäs;;nobility;;;;i-HAm3MZcMCaM4g7nN65aKmR
Knut Adolf Boije af Gennäs;/wiki/Knut_Adolf_Boije_af_Gennäs;;nobility;;;;i-NKUVrN6kypayREU1YSXp1x
Carl von Bonsdorff;/wiki/Carl_von_Bonsdorff;;nobility;;;;i-Tqp3j9qYioq4RaiA7DM5ac
Viktor Magnus von Born;/wiki/Viktor_Magnus_von_Born;;nobility;;;Q3375796;i-L9kZxLhWCuQyLqDdMjfmwo
Theodor Bruun;/wiki/Theodor_Bruun_(nuorempi);;nobility;;;;i-U2A7cwzeuhuxLi8KooFg4u
Reinhold Brix von Böningh;/wiki/Reinhold_Brix_von_Böningh;;nobility;;;;i-XDB8RGNdQBznykTAvXXYNU
Axel Fredrik Nikolaus Cedercreutz;/wiki/Axel_Fredrik_Nikolaus_Cedercreutz;;nobility;;;;i-NDu3XB3xk3uT4c2LFvLbZz
Karl Viktor de la Chapelle;/wiki/Karl_Viktor_de_la_Chapelle;;nobility;;;;i-8Aw9hmkGUr4yviJqVZp1KP
Richard Casimir de la Chapelle;/wiki/Richard_Casimir_de_la_Chapelle;;nobility;;;;i-CxC5n56mokAqSKPwqL2VNN
Edvard Waldemar von Christierson;/wiki/Edvard_Waldemar_von_Christierson;;nobility;;;;i-2Ji5aehRfDbxVmrRpEzJLv
Georg Mauritz von Christierson;/wiki/Georg_Mauritz_von_Christierson;;nobility;;;;i-5MPjVAbwqdX7wpyfj7xs8w
Alexander von Collan;/wiki/Alexander_von_Collan;;nobility;;;;i-B7K44WE4uTopCniVGbSNrZ
Carl Anton Reinhold Ludvig Cronstedt;/wiki/Carl_Anton_Reinhold_Ludvig_Cronstedt;;nobility;;;;i-2ZVFdKNgodWAvp9mUf7Ku6
Woldemar von Daehn;/wiki/Woldemar_von_Daehn;;nobility;;;Q5614831;i-JS46V6rNtkSEGJw4cigY71
Adolf Reinhold Viktor Ehrnrooth;/wiki/Adolf_Reinhold_Viktor_Ehrnrooth;;nobility;;;;i-ModpSX4t69XxAKF7ekgvVg
Gustaf Robert Ehrnrooth;/wiki/Gustaf_Robert_Ehrnrooth;;nobility;;;;i-SbX61wokaS67ghtHrcjkgQ
Axel Ekestubbe;/wiki/Axel_Ekestubbe;;nobility;;;;i-SyVV264UBZ1JB58yfmkdmz
Gustaf Mauritz von Essen;/wiki/Gustaf_Mauritz_von_Essen;;nobility;;;;i-JQBLQvmLyE7C7HqEFYRN2A
Gustaf Georg Waldemar von Essen;/wiki/Gustaf_Georg_Waldemar_von_Essen;;nobility;;;;i-L1KJ3WtZLgoZjfPp7unfjv
Alexander Etholén;/wiki/Alexander_Etholén;;nobility;;;;i-JWfUn6jaHzKj4SR2GH4dx5
Victor Ludvig Alexander Falck;/wiki/Victor_Ludvig_Alexander_Falck;;nobility;;;;i-XZZYBmXAzVMnL5wScZ93RP
Bror Albert von Fieandt;/wiki/Bror_Albert_von_Fieandt;;nobility;;;;i-NNUNTXzUgmd3vM5ymCgTek
Edvard Gustaf af Forselles;/wiki/Edvard_Gustaf_af_Forselles;;nobility;;;;i-EgiNvPcaifKheMGDbyyqWE
Carl Axel Birger af Forselles;/wiki/Carl_Axel_Birger_af_Forselles;;nobility;;;;i-2g556HzWNUiGYftBbkrC5Z
Pehr Emil af Forselles;/wiki/Pehr_Emil_af_Forselles;;nobility;;;;i-GWGMuHZpB7JtXsedCoRVmg
Carl Fredrik Forsman;/wiki/Carl_Fredrik_Forsman;;nobility;;;;i-QWtmceu5tuL6iNKSbdGPzi
Georg Fraser;/wiki/Georg_Fraser;;nobility;;;;i-MEoY3ZYgtDsM2D23r4yfXX
Carl Theodor von Frenckell;/wiki/Carl_Theodor_von_Frenckell;;nobility;;;;i-WTPJdE9dsMppVoEfCh64m2
Johan Carl Emil af Frosterus;/wiki/Johan_Carl_Emil_af_Frosterus;;nobility;;;;i-8JRHeBzG9FhLBAfHWFdMKQ
Elis Furuhjelm;/wiki/Elis_Furuhjelm;;nobility;;;;i-CN9ba2YkypvRWcT57zJXWv
A. A. Granfelt;/wiki/A._A._Granfelt;;nobility;;;;i-44XqmFJXMAvDCvwFoaKM3f
August Fredrik Granfelt;/wiki/August_Fredrik_Granfelt;;nobility;;;;i-KCWHHiMpyLd9LgBgzksu28
Alexis Gripenberg;/wiki/Alexis_Gripenberg;;nobility;;;;i-XAhPHpjCL41PGZ85XdBSmS
Gustaf Adolf Konstantin Gripenberg;/wiki/Gustaf_Adolf_Konstantin_Gripenberg;;nobility;;;;i-Nt8YGKJiiZ7gv6xC2bwbfr
Johan Axel Gripenberg;/wiki/Johan_Axel_Gripenberg;;nobility;;;;i-GbyfTXHevxWvXpYKfxzfVD
Lennart Gripenberg;/wiki/Lennart_Gripenberg;;nobility;;;Q4355145;i-C9KYhraNLJSN4TypRVTUUr
Adolf Grotenfelt;/wiki/Adolf_Grotenfelt;;nobility;;;;i-PakNJPLNiG83PD1Hqsszw6
Julius Grotenfelt;/wiki/Julius_Grotenfelt;;nobility;;;;i-8QYakWUV2VeaBeSr6opb8f
Kustavi Grotenfelt;/wiki/Kustavi_Grotenfelt;;nobility;;;Q5773020;i-BdcCax9AbjJYKF3SaEwTau
Nils Grotenfelt;/wiki/Nils_Grotenfelt_(maanviljelysneuvos);;nobility;;;;i-8WEAdEX6W6PSz4dVAB2q1x
Nils Bernt Grotenfelt;/wiki/Nils_Bernt_Grotenfelt;;nobility;;;;i-AtzZDHHkMR8JK9m5A1frvF
Lars Emil von Haartman;/wiki/Lars_Emil_von_Haartman;;nobility;;;;i-QqBB3xoTfxVdjYr5NQonYt
Victor von Haartman;/wiki/Victor_von_Haartman;maamarsalkka;nobility;;;;i-3AtCF9sv6EHtjCstTrjHpC
Wilhelm Hackman;/wiki/Wilhelm_Hackman;;nobility;;;;i-EQvj9fL5osnqMNoPpVA6wE
Eduard Hisinger;/wiki/Eduard_Hisinger;;nobility;;;Q11856576;i-J1rpecNsAtKm6tYwewGWk
Fridolf Leopold Hisinger;/wiki/Fridolf_Leopold_Hisinger;;nobility;;;;i-PgAMU6BqG36U1C18dfRoTQ
Mauritz Fridolf Hisinger;/wiki/Mauritz_Fridolf_Hisinger;;nobility;;;;i-WMa3i1Fida5Xz9rbdPwSCY
Robert Emil Hisinger;/wiki/Robert_Emil_Hisinger;;nobility;;;;i-RqnKaG4Hk193aoEnE7oY7w
Gustaf Emil af Hällström;/wiki/Gustaf_Emil_af_Hällström;;nobility;;;;i-WBMomudNy8B9hzNBygMzwC
Eugen Idestam;/wiki/Eugen_Idestam;;nobility;;;;i-TvcxBipQbXEpB8ZmhBPP9x
Emil Lindsay von Julin;/wiki/Emil_Lindsay_von_Julin;;nobility;;;;i-4GaPQPN9o2DtPJqk8V2RRe
Johan Albert Edvard von Julin;/wiki/Johan_Albert_Edvard_von_Julin;;nobility;;;;i-RZrdQe9EF8epc2oUiYctkq
Carl Johan Jägerhorn;/wiki/Carl_Johan_Jägerhorn;;nobility;;;;i-7Su6x7tWfCt4Pzqof8GtE8
Krister Jägerskiöld;/wiki/Krister_Jägerskiöld;;nobility;;;;i-SdMoUcpSHjToPwQR4EJX9T
Oskar Adolf Järnefelt;/wiki/Oskar_Adolf_Järnefelt;;nobility;;;;i-G3GyWSwuFaxKNReYYXx1r5
Anton Leonard von Knorring;/wiki/Anton_Leonard_von_Knorring;;nobility;;;;i-ENeMx6XG6uxkKZ5MuVZMcF
Sebastian von Knorring;/wiki/Sebastian_von_Knorring;;nobility;;;;i-F9Uan6uDi3gGTXa1Gcn5Aj
Carl Gustav Mortimer von Kraemer;/wiki/Carl_Gustav_Mortimer_von_Kraemer;;nobility;;;;i-FxBFM2uzof1KWHDpt4Uswx
Wilhelm Theodor von Kraemer;/wiki/Wilhelm_Theodor_von_Kraemer;;nobility;;;;i-DvsnxJr6R8m8r5wknzUSGc
Gustaf Adolf Langenskiöld;/wiki/Gustaf_Adolf_Langenskiöld;;nobility;;;;i-KbCoxCNEWKajEohbj77myb
Karl Langenskiöld;/wiki/Karl_Langenskiöld;;nobility;;;;i-9jb7omAsinf5HbDQnJqHNR
Alexander Wilhelm Lagerborg;/wiki/Alexander_Wilhelm_Lagerborg;;nobility;;;;i-VFEu1HLKJix9SRhuJxAViZ
Lorenz Lindelöf;/wiki/Lorenz_Lindelöf;;nobility;;;;i-FARTN51opJpmXmZjke8Xyy
Constantin Linder;/wiki/Constantin_Linder;;nobility;;;;i-RBMv4NKJqVbMmhQsYSdbLb
Fridolf Linder;/wiki/Fridolf_Linder;;nobility;;;;i-WF8BWGJBsroMfDPtmAkEZt
Julius af Lindfors;/wiki/Julius_af_Lindfors;;nobility;;;;i-CRi4mjW1YHACfcQN5mhvhT
Torsten Leonard Lode;/wiki/Torsten_Leonard_Lode;;nobility;;;;i-95LiWSVCTALqsRCn79kA23
Henrik Adolf Mechelin;/wiki/Henrik_Adolf_Mechelin;;nobility;;;;i-RpxSvxG4amN4EMcdgkbpKE
Leo Mechelin;/wiki/Leo_Mechelin;;nobility;;;Q2668824;i-BM1QN3ZJ5FqkktH9JwVhGK
Oscar Johan Mechelin;/wiki/Oscar_Johan_Mechelin;;nobility;;;;i-HWyWGu6Fv6nhg9UH8FNaf3
Clas Herman Molander;/wiki/Clas_Herman_Molander;;nobility;;;;i-39HLCE9yBTZGgTmRXc8MV4
Robert Montgomery;/wiki/Robert_Montgomery;;nobility;;;Q2796467;i-4yJxJNJJ1BwQYoDiqLucKJ
Karl Fredrik Munck;/wiki/Karl_Fredrik_Munck;;nobility;;;;i-SU2n35iQoWZU6ahNBi2tN9
Carl Gustaf Munck;/wiki/Carl_Gustaf_Munck;;nobility;;;;i-25WDyXxu97AE9nCuf58dk9
Rudolf Waldemar Munsterhjelm;/wiki/Rudolf_Waldemar_Munsterhjelm;;nobility;;;;i-M1dRDrHkNpb4p39e5pVUGD
Paul von Nicolay;/wiki/Paul_von_Nicolay;;nobility;;;;i-drdyfse5Wuqe9KFa6pgaB
Karl Adolf Nordenskiöld;/wiki/Karl_Adolf_Nordenskiöld;;nobility;;;;i-Hqgm2kBS8HE6njNDkKFAns
Nils Karl Nordenskiöld;/wiki/Nils_Karl_Nordenskiöld;;nobility;;;;i-Pf75wDVPHr1357N9G8kwHc
Hugo Kasimir Nordenswan;/wiki/Hugo_Kasimir_Nordenswan;;nobility;;;;i-9WxSZn2XaTPYpzCwu6SqF4
Fredrik Nordmann;/wiki/Fredrik_Nordmann;;nobility;;;;i-SqQK7dWUc7zwppHradamvV
Alfred Norrmén;/wiki/Alfred_Norrmén;;nobility;;;;i-6bLoZWCJmwV4MoZ8ZV4ner
Oscar Norrmén;/wiki/Oscar_Norrmén;;nobility;;;;i-G86NetonwkTbVdHBbfsymU
Karl Johan Agaton von Numers;/wiki/Karl_Johan_Agaton_von_Numers;;nobility;;;;i-Q21ZTbWmznLGQxXvyNXGvX
Christian Theodor Oker-Blom;/wiki/Christian_Theodor_Oker-Blom;;nobility;;;;i-54SfkVromhfR9VDTNCqXJe
K. E. Palmén;/wiki/K._E._Palmén;;nobility;;;;i-7jG8J9g1qE4EVZqJqnye6C
Josef Adam Joakim Pippingsköld;/wiki/Josef_Adam_Joakim_Pippingsköld;;nobility;;;;i-KXnVQ9JYufy6ePb39wj3E2
Viktor Napoleon Procopé;/wiki/Viktor_Napoleon_Procopé;;nobility;;;;i-8MKgbaiETPMa7snAa5atfp
Lars Knut Prytz;/wiki/Lars_Knut_Prytz;;nobility;;;;i-6wx4tZs3L9ZDfftTDUg18n
Fredrik Wilhelm Hugo von Qvanten;/wiki/Fredrik_Wilhelm_Hugo_von_Qvanten;;nobility;;;;i-DowNYFPp5EFuyJj5pim8KZ
August Ramsay;/wiki/August_Ramsay;;nobility;;;Q6163504;i-2a1jEQVQLMgg8WcCkNCz31
Georg Edvard Ramsay;/wiki/Georg_Edvard_Ramsay;;nobility;;;;i-EyCwcgnc6m1fa5U2bKaFXx
Ernst Viktor von Rehausen;/wiki/Ernst_Viktor_von_Rehausen;;nobility;;;;i-AMw8Mgy5XNirhXZx9dDqkZ
Thiodolf Rein;/wiki/Thiodolf_Rein;;nobility;;;;i-Atxa2Kx8Acoj72bWbshGTU
Adolf Theodor Rosenbröijer;/wiki/Adolf_Theodor_Rosenbröijer;;nobility;;;;i-9tbDnbqB7YsA4c84fGjvUA
August Schauman;/wiki/August_Schauman;;nobility;;;;i-GsTBuxn4gzdp2YPxq2CF9t
Berndt Otto Schauman;/wiki/Berndt_Otto_Schauman;;nobility;;;;i-TpRRxpwrPivaPab2rTZrGQ
Waldemar Schauman;/wiki/Waldemar_Schauman;;nobility;;;Q4412255;i-QvmSKDnRAtXr4Y5xFUdyFL
Hjalmar Schildt;/wiki/Hjalmar_Schildt;;nobility;;;;i-KMybxddpRTDXE79ZmgAnee
Johan Henrik von Schrowe;/wiki/Johan_Henrik_von_Schrowe;;nobility;;;;i-8MwNLaJBXu8nAdT6Gqr8nk
Alexander Leonard Carl Schulman;/wiki/Alexander_Leonard_Carl_Schulman;;nobility;;;;i-Lk27AXaL7fVVebyiYHtGJy
Maximus af Schultén;/wiki/Maximus_af_Schultén;;nobility;;;;i-Y9HwSnefcfc8ie1FV1Q1Pm
Claes Samuel Segerstråle;/wiki/Claes_Samuel_Segerstråle;;nobility;;;;i-PDBzu2g8GGcW9r8Ka5csJL
Johan Viktor Segerstråle;/wiki/Johan_Viktor_Segerstråle;;nobility;;;;i-8NNRe1LusyHkG6BDLBZ7Lw
Carl Silfverhjelm;/wiki/Carl_Silfverhjelm;;nobility;;;;i-4RJVSLcF3nMJU7eedc7PSH
Johan Ludvig Snellman;/wiki/Johan_Ludvig_Snellman;;nobility;;;;i-95QdUoEJ7M1gg4Cy6d3QMx
Arthur Spåre;/wiki/Arthur_Spåre;;nobility;;;;i-4qgpm6mYvkV4M6nEVsNkfh
Axel Johan Alfons Spåre;/wiki/Axel_Johan_Alfons_Spåre;;nobility;;;;i-RrQ3T3si3z3UVhi3RdhVzj
Knut Robert Karl Walfrid Spåre;/wiki/Knut_Robert_Karl_Walfrid_Spåre;;nobility;;;;i-7Xx35fG1eDWsJEU7FNDwuj
Fredrik Magnus Stackelberg;/wiki/Fredrik_Magnus_Stackelberg;;nobility;;;;i-Lyo8fpiixdh58SbJEgfmjR
Henrik Carl Gustaf August Standertskjöld;/wiki/Henrik_Carl_Gustaf_August_Standertskjöld;;nobility;;;;i-WP95ziWCZ9e7snckaW2g4Y
Karl Johan Robert Standertskjöld;/wiki/Karl_Johan_Robert_Standertskjöld;;nobility;;;;i-S8XRVnYxVF1uWdqPN4vmHV
Edvard Robert Standertskjöld;/wiki/Edvard_Robert_Standertskjöld;;nobility;;;;i-688qkpJ11dghzcz2Rj1Pdy
Herman Standertskjöld-Nordenstam;/wiki/Herman_Standertskjöld-Nordenstam;;nobility;;;;i-DAZaB4rXYdybpMQTXGxsze
Fredrik Stjernvall;/wiki/Fredrik_Stjernvall_(senaattori);;nobility;;;;i-KuRhzNsx46gnkh5bRQzgZF
Paul Hugo Sölfverarm;/wiki/Paul_Hugo_Sölfverarm;;nobility;;;;i-dSiPKWsKjPbZgZMJNpR3n
Magnus Fredrik Tandefelt;/wiki/Magnus_Fredrik_Tandefelt;;nobility;;;;i-CHi1dmNTtAJXTkRBi7jcFv
Johan Reinhold Taube;/wiki/Johan_Reinhold_Taube;;nobility;;;;i-QcsjR5Y3EcAYrfuf6exqd2
Axel Gabriel Wilhelm Tawaststjerna;/wiki/Axel_Gabriel_Wilhelm_Tawaststjerna;;nobility;;;;i-L2dfSVdC9KhQSTQd28TwV2
Frithiof Alarik Tawaststjerna;/wiki/Frithiof_Alarik_Tawaststjerna;;nobility;;;;i-M8vPca9XvnkuhF7z5k9Ho4
Werner Tawaststjerna;/wiki/Werner_Tawaststjerna;;nobility;;;;i-3UZR8F4MDTpxope8ME8oS9
Wilhelm Thesleff;/wiki/Wilhelm_Thesleff_(insinööri);;nobility;;;;i-PwnzQwwr5bqYkhupZAh7NR
Axel Fredrik Tigerstedt;/wiki/Axel_Fredrik_Tigerstedt;;nobility;;;;i-32w487iUhzdyQvB8GvE88D
Gustaf Alexander Tigerstedt;/wiki/Gustaf_Alexander_Tigerstedt;;nobility;;;;i-Tsm7XwQqjWpXrCqx4saGXA
Theodor Tigerstedt;/wiki/Theodor_Tigerstedt;;nobility;;;;i-TR13JsM23E7ipXqPtPdrJn
Samuel Werner von Troil;/wiki/Samuel_Werner_von_Troil;;nobility;;;;i-9NbuRgUjosumWbUFQEtRjx
Gustaf Albin Wasastjerna;/wiki/Gustaf_Albin_Wasastjerna;;nobility;;;;i-SoWgEmbVTmdPn2HvTMFCF
Jakob Viktor Wasastjerna;/wiki/Jakob_Viktor_Wasastjerna;;nobility;;;;i-8n3nuTnzCqgxrCTWwYq1yu
Karl Oskar Wasastjerna;/wiki/Karl_Oskar_Wasastjerna;;nobility;;;;i-8QS8NxWXnYbGNGay7eWUi3
Alexander von Weissenberg;/wiki/Alexander_von_Weissenberg;;nobility;;;;i-8tpmjoLjCwAvg1Z16Ymcr
