name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Ernst Rönnbäck;/wiki/Ernst_R%C3%B6nnb%C3%A4ck;;burgers;;Turku;;i-KgjJCxbdt82hzHKsnYYkx4
Carl Gustaf Sanmark;/wiki/Carl_Gustaf_Sanmark;;burgers;;Hanko;;i-7jLpb1DTcomASwUADLnGHQ
Albert Oskar Snellman;/wiki/Albert_Oskar_Snellman;;burgers;;Oulu;;i-C7gacFwYKBuChyxT82r3YD
Johan Josef Stenbäck;/wiki/Johan_Josef_Stenb%C3%A4ck;;burgers;;Vaasa;;i-3qQ2rqBSKFC1Nnf3bj8fKb
Georg Wallgren;/wiki/Georg_Wallgren;;burgers;;Porvoo;;i-QEfPLQGwwVw7e6SHKhBgS7
Adolf Wasenius;/wiki/Adolf_Wasenius;;burgers;;Helsinki;;i-9vkyMVcmbACmYXjiobcPPP
Johan Gustaf Wikeström;/wiki/Johan_Gustaf_Wikestr%C3%B6m;;burgers;;Turku;;i-SWcAb2S58766GiVqcK2yWq
Viktor Wilhelm Öhberg;/wiki/Viktor_Wilhelm_%C3%96hberg;;burgers;;Helsinki;;i-n3GLRgqXQXNFmkzaGwSPW
Elias Öhman;/wiki/Elias_%C3%96hman;;burgers;;Helsinki;;i-3vKiENeoA3CspmdF15oiTu
Tomas Erik Robert Adolf Adlercreutz;/wiki/Tomas_Erik_Robert_Adolf_Adlercreutz;;nobility;;;;i-WtiFTQjstvy78fAdBcCLFT
Georg von Alfthan;/wiki/Georg_von_Alfthan;;nobility;;;;i-7Fgy1eMvbaMXrGoDJTECv5
Adolf Aminoff;/wiki/Adolf_Aminoff_(1806%E2%80%931884);;nobility;;;;i-Pfw4BTaDP6k2iypU8dU681
Johan Fredrik Aminoff;/wiki/Johan_Fredrik_Aminoff_(1847%E2%80%931892);;nobility;;;;i-6G56mBx8y9Bfr5Rh3Rq66j
Torsten Johan Aminoff;/wiki/Torsten_Johan_Aminoff;;nobility;;;;i-TvLg6gRhrHwFWkKK9i4FYA
Axel Henrik Antell;/wiki/Axel_Henrik_Antell;;nobility;;;;i-CyA98HnR3uENykk8myABmW
Kasten Antell;/wiki/Kasten_Antell;;nobility;;;Q4405514;i-FdRfUaAkk5CYpd9Du8pbGa
August Magnus Gustaf Armfelt;/wiki/August_Magnus_Gustaf_Armfelt;;nobility;;;;i-GAtn7bERdoirMx4xRthNqz
