name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Frans Alfrid Aejmelaeus;/wiki/Frans_Alfrid_Aejmelaeus;;burgers;;;;i-Q6qBz6peRTuLmwUG9fGTUi
Emil Frithiof Andersin;/wiki/Emil_Frithiof_Andersin;;burgers;;;;i-FXUQh967xLRCogeTYmdrCW
Oscar Wilhelm Andstén;/wiki/Oscar_Wilhelm_Andst%C3%A9n;;burgers;;;;i-P5yxBbcUYC7ESsTCmTiwPG
Knut Anthoni;/wiki/Knut_Anthoni;;burgers;;;;i-B25euU6eTmVWcf2VC3ZBV6
Johan Fredrik Barck;/wiki/Johan_Fredrik_Barck;;burgers;;;;i-3pBxWmein6Pp5EyVZ5sWeC
Emanuel Berner;/wiki/Emanuel_Saloheimo;;burgers;;;;i-Vquuv2Q1nBy3xPM3DXsFHJ
T. J. Boisman;/wiki/T._J._Boisman;;burgers;;;;i-E842CxwFnJfAsu59UCBbji
Carl Ferdinand Borenius;/wiki/Carl_Ferdinand_Borenius;;burgers;;;;i-WEteKry32GJE2GnMiyXxih
Gabriel Wilhelm Cadenius;/wiki/Gabriel_Wilhelm_Cadenius;;burgers;;;;i-6DQ2gWnq9MWyAb4m57Z2yL
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;;;;i-LcbKWGDpGm9XdVkcD4Yn4p
Theodor Leopold Eck;/wiki/Theodor_Leopold_Eck;;burgers;;;;i-MBAhp3QGsu4xyQ6tjvHiC7
Rudolf Erenius;/wiki/Rudolf_Erenius;;burgers;;;;i-5PcgiwA1qrtSSB6nygYn7e
Frans Viktor Eriksson;/wiki/Frans_Viktor_Eriksson;;burgers;;;;i-WvyDUpkmCVdzKarM1fgrCN
Eero Erkko;/wiki/Eero_Erkko;;burgers;;;Q4119026;i-7r2DHZ8fkniPeRQbBRGNbv
Arvid Thorsten Birger Genetz;/wiki/Arvid_Thorsten_Birger_Genetz;;burgers;;;;i-6G9DjpxbMbfYHpZqppkoPx
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;;;;i-7KxQWYRijD5jxcyYeme3uf
Felix Heikel;/wiki/Felix_Heikel;;burgers;puhemies;Viipuri;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Axel Holmberg;/wiki/Axel_Holmberg;;burgers;;;;i-EkuqrxiDLYkN7w8kVEcEKx
Emil Holmberg;/wiki/Carl_Emil_Holmberg;;burgers;;;;i-49ShqpNVqE9Mj1PyubtqSe
