name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Gerhard Pehr Alopaeus;/wiki/Gerhard_Pehr_Alopaeus;;burgers;;Mikkeli;;i-R8pmgSjrtL5RNu17k6YJJ8
Oscar Wilhelm Andstén;/wiki/Oscar_Wilhelm_Andst%C3%A9n;;burgers;;Maarianhamina;;i-P5yxBbcUYC7ESsTCmTiwPG
Otto Immanuel Appelberg;/wiki/Otto_Immanuel_Appelberg;;burgers;;Kotka;;i-DSjrPP1Ub5W9gAqYsTTrAh
Karl Gustaf Berg;/wiki/Karl_Gustaf_Berg;;burgers;;Sortavala;;i-Lch3o2YJ8cMMwJUB46sQcL
Carl Ferdinand Borenius;/wiki/Carl_Ferdinand_Borenius;;burgers;;Viipuri;;i-WEteKry32GJE2GnMiyXxih
Johan Leonard Borgström;/wiki/Johan_Leonard_Borgstr%C3%B6m;;burgers;;Helsinki;;i-9sKLrfez1BQeoAsquLZ5Zh
Alfred Burman;/wiki/Alfred_Burman;;burgers;;Vaasa;;i-RT3U6VrgfFvTbEBaT1WU4Q
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;;Kristiinankaupunki;;i-LcbKWGDpGm9XdVkcD4Yn4p
Ludvig Gustaf Leonhard Clouberg;/wiki/Ludvig_Gustaf_Leonhard_Clouberg;;burgers;;Viipuri;;i-CGNfHCSmfYZ4tNvJeVzTTV
Ernst Dahlström;/wiki/Ernst_Dahlstr%C3%B6m;;burgers;;Turku;;i-Pvw9EBwj6b461Z2NzQEMrw
Rudolf Bernhard Elving;/wiki/Rudolf_Bernhard_Elving;;burgers;;Helsinki;;i-4yVsDwH7PWREgHakxAnZUW
Waldemar Eneberg;/wiki/Waldemar_Eneberg;;burgers;;Kajaani;;i-3nP8YuTqeTAw5agRhk1szM
Carl Federley;/wiki/Carl_Federley;;burgers;;Uusikaupunki;;i-J4VesWHSy7vjipBi6XD4Hw
Ernesti Forsman;/wiki/Ernesti_Forsman;;burgers;;Hämeenlinna;;i-Xy6WTVyN3GTMYt6Friycp2
Theodor Frosterus;/wiki/Theodor_Frosterus;;burgers;;Pietarsaari;;i-C3DvrWyQ2EcBDMiprvuVyR
Valentin Gummerus;/wiki/Valentin_Gummerus;;burgers;;Käkisalmi;;i-S3GuL4uWXYcmpjmQUj9PCt
K. G. Göös;/wiki/K._G._G%C3%B6%C3%B6s;;burgers;;Tornio;;i-4uYMuK2CS64Vd4VXcM41TY
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;;Helsinki;;i-7KxQWYRijD5jxcyYeme3uf
Felix Heikel;/wiki/Felix_Heikel;;burgers;;Helsinki;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
August Herckman;/wiki/August_Herckman;;burgers;;Kuopio;;i-XTm7WfMb8Qz55wD74N5o4P
Walter Hoving;/wiki/Walter_Hoving;;burgers;;Viipuri;Q7965175;i-4roc5uHbzAkspAR4dugTxs
K. J. Högman;/wiki/K._J._H%C3%B6gman;;burgers;;Jyväskylä;;i-PXuku1HofhxbHupjzJDbQt
Fredrik Jansson;/wiki/Fredrik_Jansson;;burgers;;Raahe;Q96378496;i-PJieNR5tUWvJeBkxF7Dr9F
Robert Junnelius;/wiki/Robert_Junnelius;;burgers;;Pori;;i-DfoBXxWtHB1dPk3VFvEfhi
August Ferdinand Juselius;/wiki/August_Ferdinand_Juselius;;burgers;;Turku;;i-DdvHcgdBbdRimFMB8LiyD9
Lauri Kivekäs;/wiki/Lauri_Kivek%C3%A4s;;burgers;;Tampere;;i-Ssz6NPb9rMtK26HHXkXoyb
Ferdinand Alexander Kumlin;/wiki/Ferdinand_Alexander_Kumlin;;burgers;;Turku;;i-fA2djVh863LMVCqsSn8im
Joachim Kurtén;/wiki/Joachim_Kurt%C3%A9n;;burgers;puhemies;Vaasa;;i-TMtBCHpVArrzqFRZ7UamYA
Axel Lille;/wiki/Axel_Lille;;burgers;;Helsinki;Q1974329;i-PsebhHbMPp7TojDsoDt1hW
Abdon Alfred Fredrik Lindberg;/wiki/Abdon_Alfred_Fredrik_Lindberg;;burgers;;Helsinki;;i-DGGHbV8Jc5iYsn2a5HmaYT
Theodor Lindh;/wiki/Theodor_Lindh;;burgers;;Porvoo;;i-6LsjDJLouE7qk6Fkq8dG5i
Viktor Löfgren;/wiki/Viktor_Lounasmaa;;burgers;;Heinola;;i-7yK1RckJEeJLB92G95c3Gp
Hugo Malmberg;/wiki/Hugo_Malmberg;;burgers;;Kaskinen;;i-KBRhFpxQ7JaxtdN7vnuj2r
Frithiof Neovius;/wiki/Frithiof_Neovius;;burgers;;Hamina;;i-5TSspidDoU2K2pXp226J2p
Frithiof Napoleon Neppenström;/wiki/Frithiof_Napoleon_Neppenstr%C3%B6m;;burgers;;Joensuu;;i-LnKGDyGvxDZZ7YsqPeHWDK
Juho Nissinen;/wiki/Juho_Nissinen;;burgers;;Naantali;;i-SDx8XWaQ1pBA9gKiPinHpP
Carl Nummelin;/wiki/Carl_Nummelin;;burgers;;Helsinki;;i-JFFd4ZuB8jwp2b9revhQqt
Karl Arvid Nyberg;/wiki/Karl_Arvid_Nyberg;;burgers;;Loviisa;;i-DiRtoFeWwZgawSF374ZTgV
Juho Pelkonen;/wiki/Juho_Pelkonen;;burgers;;Lappeenranta;;i-6JybuhLJX5Qmzhe4hT7PER
Leonard von Pfaler;/wiki/Leonard_von_Pfaler;;burgers;;Hanko;;i-J2CszrE3gkUiAQ8Qt52mWd
K. H. Renlund;/wiki/K._H._Renlund;;burgers;;Kokkola;;i-Ga4zhpKhZgMrwW6CEFhPKo
Ernst Rönnbäck;/wiki/Ernst_R%C3%B6nnb%C3%A4ck;;burgers;;Turku;;i-KgjJCxbdt82hzHKsnYYkx4
Julian Serlachius;/wiki/Julian_Serlachius;;burgers;;Helsinki;;i-EVfZBUkzrmkjLRX3mG1o3n
Albert Oskar Snellman;/wiki/Albert_Oskar_Snellman;;burgers;;Oulu;;i-C7gacFwYKBuChyxT82r3YD
Johan Josef Stenbäck;/wiki/Johan_Josef_Stenb%C3%A4ck;;burgers;;Vaasa;;i-3qQ2rqBSKFC1Nnf3bj8fKb
Otto Stenroth;/wiki/Otto_Stenroth;;burgers;;Kemi;Q203799;i-54BETv5DN8FvfS7nZGfZiw
Frans Sumelius;/wiki/Frans_Sumelius;;burgers;;Tampere;;i-LfjijKcu6wrjy8uVqHyVJp
Carl Johan Sundman;/wiki/Carl_Johan_Sundman;;burgers;;Kuopio;;i-J8B16Dk9GrSwVz9Qn7hcF8
Fredrik Sundwall;/wiki/Fredrik_Sundwall;;burgers;;Tammisaari;;i-5g8WJnGMjg684X2dzwMr2J
J. W. Söderlund;/wiki/J._W._S%C3%B6derlund;;burgers;;Rauma;;i-WtbprdVHLEQzfY1r3J5vvD
Theodor Tallqvist;/wiki/Theodor_Tallqvist_(insin%C3%B6%C3%B6ri);;burgers;;Savonlinna;;i-SzT9Ti41fPxiEJHVPCHzAT
Karl Fredrik Walle;/wiki/Karl_Fredrik_Walle;;burgers;;Pori;;i-iS8LzzYMsoqMTRxq4iVRK
Adolf Wasenius;/wiki/Adolf_Wasenius;;burgers;;Helsinki;;i-9vkyMVcmbACmYXjiobcPPP
C. W. Åkerlund;/wiki/C._W._%C3%85kerlund;;burgers;;Tampere;;i-2Lagjiv4piKgWYsSBqwUKU
Hemming Åström;/wiki/Hemming_%C3%85str%C3%B6m;;burgers;;Oulu;;i-Tsj4S7NTnyj22gTiduh9tv
Elias Öhman;/wiki/Elias_%C3%96hman;;burgers;;Helsinki;;i-3vKiENeoA3CspmdF15oiTu
Henrik Thomas Adlercreutz;/wiki/Henrik_Thomas_Adlercreutz;;nobility;;;;i-WSyB6pTTNa91z1Kf4EmD6X
Georg von Alfthan;/wiki/Georg_von_Alfthan;;nobility;;;;i-7Fgy1eMvbaMXrGoDJTECv5
Kristian von Alfthan;/wiki/Kristian_von_Alfthan;;nobility;;;Q5546475;i-8XNxnftYHEi8sGEojxrwPD
Adolf Aminoff;/wiki/Adolf_Aminoff_(1860%E2%80%931914);;nobility;;;;i-UDfLY4X7enJaiGPA89x5CJ
Alexander Aminoff;/wiki/Alexander_Aminoff_(valtiop%C3%A4iv%C3%A4mies);valtiopäivämies;nobility;;;;i-7Zm9aeNVo34bpWApDSSkmX
Johan Fredrik Aminoff;/wiki/Johan_Fredrik_Aminoff_(1847%E2%80%931892);;nobility;;;;i-6G56mBx8y9Bfr5Rh3Rq66j
Torsten Johan Aminoff;/wiki/Torsten_Johan_Aminoff;;nobility;;;;i-TvLg6gRhrHwFWkKK9i4FYA
Axel Henrik Antell;/wiki/Axel_Henrik_Antell;;nobility;;;;i-CyA98HnR3uENykk8myABmW
Kasten Antell;/wiki/Kasten_Antell;;nobility;;;Q4405514;i-FdRfUaAkk5CYpd9Du8pbGa
Carl Eugen Armfelt;/wiki/Carl_Eugen_Armfelt;;nobility;;;;i-G7hzwEaQa2dTy17bhDocu2
Adolf Edvard Arppe;/wiki/Adolf_Edvard_Arppe;;nobility;;;;i-M1GkpKKam2WhRvDxjE48Yx
Adolf von Becker;/wiki/Adolf_von_Becker;;nobility;;;Q4115633;i-URXcmK1gDqhAUAqzy1YSPi
Adolf Edvard Björkenheim;/wiki/Adolf_Edvard_Bj%C3%B6rkenheim;;nobility;;;;i-CsCxdQ9CvKUh2iT7axN5Jf
Axel Björkenheim;/wiki/Axel_Bj%C3%B6rkenheim;;nobility;;;;i-REsb3HRKixELb2Qs7KmBoM
Robert Severin af Björksten;/wiki/Robert_Severin_af_Bj%C3%B6rksten;;nobility;;;;i-CmRgA6fB7vmvVAhfT14CUq
Theodor Frithiof Blåfield;/wiki/Theodor_Frithiof_Bl%C3%A5field;;nobility;;;;i-BMoWT8Xrb6F9Sd1pAiEukD
Hans Gustaf Boije;/wiki/Hans_Gustaf_Boije;varamaamarsalkka;nobility;;;;i-ChuomtmkLkdJ7EejCZL8M7
Rolf Boije;/wiki/Rolf_Boije;;nobility;;;;i-NtosEyycMypJu45DLSKt8a
Constantin Boije af Gennäs;/wiki/Constantin_Boije_af_Genn%C3%A4s;;nobility;;;;i-KR84sJFFS2USNruSw4DL1V
Carl von Bonsdorff;/wiki/Carl_von_Bonsdorff;;nobility;;;;i-Tqp3j9qYioq4RaiA7DM5ac
Viktor Magnus von Born;/wiki/Viktor_Magnus_von_Born;;nobility;;;Q3375796;i-L9kZxLhWCuQyLqDdMjfmwo
Karl Gustaf Brakel;/wiki/Karl_Gustaf_Brakel;;nobility;;;;i-Co9zWb9dbmqdAqR9Ai1MMM
Karl Wilhelm Bruncrona;/wiki/Karl_Wilhelm_Bruncrona;;nobility;;;;i-6D2GsjXreTSdsxx3MhRbND
Theodor Bruun;/wiki/Theodor_Bruun_(nuorempi);;nobility;;;;i-U2A7cwzeuhuxLi8KooFg4u
Axel Fredrik Nikolaus Cedercreutz;/wiki/Axel_Fredrik_Nikolaus_Cedercreutz;;nobility;;;;i-NDu3XB3xk3uT4c2LFvLbZz
Emil Waldemar Cedercreutz;/wiki/Emil_Waldemar_Cedercreutz;;nobility;;;;i-SGZvu2gmDdnsbFXvehPV56
Karl Viktor de la Chapelle;/wiki/Karl_Viktor_de_la_Chapelle;;nobility;;;;i-8Aw9hmkGUr4yviJqVZp1KP
Richard Casimir de la Chapelle;/wiki/Richard_Casimir_de_la_Chapelle;;nobility;;;;i-CxC5n56mokAqSKPwqL2VNN
Alexander von Collan;/wiki/Alexander_von_Collan;;nobility;;;;i-B7K44WE4uTopCniVGbSNrZ
Clas von Collan;/wiki/Clas_von_Collan;;nobility;;;;i-Dyoum1uqVHJc4aBfw4FSSa
Carl Gustaf Wilhelm von Christierson;/wiki/Carl_Gustaf_Wilhelm_von_Christierson;;nobility;;;;i-8gwhDmAZHjAqSM8hKie1jm
Edvard Waldemar von Christierson;/wiki/Edvard_Waldemar_von_Christierson;;nobility;;;;i-2Ji5aehRfDbxVmrRpEzJLv
Georg Mauritz von Christierson;/wiki/Georg_Mauritz_von_Christierson;;nobility;;;;i-5MPjVAbwqdX7wpyfj7xs8w
Johannes Gripenberg;/wiki/Johan_Axel_Gripenberg;;nobility;;;;i-GbyfTXHevxWvXpYKfxzfVD
Alexander Cronhjelm;/wiki/Alexander_Cronhjelm;;nobility;;;;i-MZjGSV6EaQrvUyQv5EbDi
Carl Anton Reinhold Ludvig Cronstedt;/wiki/Carl_Anton_Reinhold_Ludvig_Cronstedt;;nobility;;;;i-2ZVFdKNgodWAvp9mUf7Ku6
Adolf Reinhold Viktor Ehrnrooth;/wiki/Adolf_Reinhold_Viktor_Ehrnrooth;;nobility;;;;i-ModpSX4t69XxAKF7ekgvVg
Gustaf Robert Ehrnrooth;/wiki/Gustaf_Robert_Ehrnrooth;;nobility;;;;i-SbX61wokaS67ghtHrcjkgQ
Axel Ekestubbe;/wiki/Axel_Ekestubbe;;nobility;;;;i-SyVV264UBZ1JB58yfmkdmz
