person_id,wiki_id,name
i-4EJpVLBVq7qJcHfe9xgeMh,,Jakob Näs
i-4EfZwZYPcDqVAtpcDCJzjM,Q105432376,Antti Juhana Horttanainen
i-4EsxkwwngyfaYkKgEVEGwM,Q17380724,Harald Wilhelm von Hellens
i-4GaPQPN9o2DtPJqk8V2RRe,Q76238419,Emil Lindsay von Julin
i-4GpKxxaDYPL8zTYnJ5qrTa,Q17384817,Kaarlo Warvikko
i-4HmWYC5LwiRyMifTd63fj7,,Axel Gustaf Leonard Järnefelt
i-4JLjd6bDZEbBMJYBuR7DMV,,Juho Aapraham Mennander
i-4JaESVZ7PJrEMEm1tSderF,Q105620551,Leander Olofsson
i-4LUY2WFbrHNXdXqurbMDvB,Q105037566,Anders Blomqvist
i-4QDeS1k11PYNpY3RaZBkBL,,Viktor Rydman
i-4QdpXawiN5ExRxSEBRW6BN,,Aron Gustaf Borg
i-4RJVSLcF3nMJU7eedc7PSH,Q6175881,Carl Silfverhjelm
i-4SBRhbBz611dxdnMCTF7zj,Q105337210,Eeli Juntunen
i-4SWFcm9V5VnDnxkzpCaPXy,Q107258245,Georg Emil Lindsay von Julin
i-4SZHDeG2hZDajPY4oRm8bV,Q11856603,Edvard Furuhjelm
i-4TRQBc1LrNtRR6LsG2cKFz,Q106319489,Erik Wilhelm Savón
i-4VDyKAbfGyk5dYP2hRbCWd,Q106342386,Konstantin Lojander
i-4VKJZeErGTDM8EF8mkdp7N,,Kaarle Wärri
i-4X7F9gkd9knr8n7ZKuTEt9,Q127688,J. V. Snellman
i-4Z2hKQhRddVgP2niaVrbm3,Q101332452,Karl Johan Lund
i-4aGZ3L3M9xF4shrVymXs23,Q17165851,Johan Axel Cedercreutz
i-4aPM48yGQ361iaSozbN2rM,Q7781631,Theodor Wegelius
i-4bSe4pEDuXKFRxkZehKLfn,,Kaarlo Värri
i-4c3gEuiKHjvByF6d2r7pSQ,Q56856392,Michael Hisinger
i-4c9Asm14jsJHGA4VeKgxVc,Q5559267,Carl Alexander Armfelt
i-4dMDRGTmPntuwcs7LN9WhR,Q11860798,Gustaf Johannes Winter
i-4daXyaPb4SkVP2g2ReEmWL,Q107323179,Gustaf Emil Alfons Spåre
i-4ewLb4CJJQuJNK5m3jCQ5a,,Henrik Heikel
i-4hJfZcdKGCaVEoCZoUaDQz,Q104602790,Jacob Holmstén
i-4jWtzjmGyp5knhYQSbBe7D,Q17380688,Niilo Helander
i-4kXkdxF3rVbxcCs8VoMdhA,Q106323478,Kustaa Vilhelm Karhu
i-4pEgB7XfvwUQWFMZb17EBR,,Kaarlo Pyydysmäki
i-4pNngQyqmP5Kg5wWKeSy3V,Q105943514,Carl Gustaf Bergh
i-4prFPBEjPh1Dck1Z3hBCHK,Q106319509,Konrad Dahlström
i-4qgpm6mYvkV4M6nEVsNkfh,Q42904200,Arthur Spåre
i-4quLjNLFHWHxz6QFw9C8bN,Q104551851,Axel Herman Hästesko af Målagård
i-4rABVLy3b8KBGeF9J7yYrp,,Kaarle Ojanen
i-4roc5uHbzAkspAR4dugTxs,Q106239274,Walter Hoving
i-4tBRiwxoFnwzLd3TCQ26cB,Q17383064,Lauri Pelkonen
i-4uYMuK2CS64Vd4VXcM41TY,Q11868577,K. G. Göös
i-4vvviq517v7pCxu8qKbktJ,Q17380646,Mikko Heikura
i-4w4SCjpMTsS82yHL1Xu8jJ,Q107405251,Armas Gideon Järnefelt
i-4wkWiyCXSJJ4U9FizZzLhw,Q104721219,Frans Viktor Sandelin
i-4yJxJNJJ1BwQYoDiqLucKJ,Q5992268,Robert Montgomery
i-4yVsDwH7PWREgHakxAnZUW,Q17380142,Rudolf Bernhard Elving
i-51zRZGqytYdTUQd2T7oRuC,Q209439,P. E. Svinhufvud
i-52AMUE3Zsum7wtpfzxbgfs,,Lauri Yrjö-Koskinen
i-52UApv4BWXTp4mFaodcLRw,Q104549865,Johan Anders Gyldenär
i-54BETv5DN8FvfS7nZGfZiw,Q203799,Otto Stenroth
i-54SfkVromhfR9VDTNCqXJe,Q4332512,Christian Theodor Oker-Blom
i-54pd7JegkLi7AJ9o4YTfQ2,Q104631447,Simo Uotila
i-54r13ERSDzuTFF59pPjUaH,Q106239210,Alfred Hedman
i-567gVPjPfpWGN2AoJtRfBW,Q16168683,Axel Cederberg
i-56qQA3iqYwQYgNMQ9bKbLo,,Karl Langenskiöld
i-57ViD4iqKfXa8LCTZAUoCd,Q102172709,Johan Frans Sahlberg
i-58p2yq1prpUmoBHrSj7Haf,Q100997944,Karl Oskar Fontell
i-59ANsridheA6559gfvqb6H,,Herman Hellén
i-59t1pDS3froDd22WYonNXi,Q20736666,Frans Ivar Edelheim
i-5Bat5uesTmUGyXukdGyWYK,,Albin Lönnbeck
i-5C3y3vPwK2g3nTViCkVpL4,,Emil Nestor Setälä
i-5CEB5WKnuEP1HVhoKubDG8,,Herman Standertskjöld-Nordenstam
i-5CfC1LDFZWPPXweSotWY4z,Q97577422,Johan Teodor Durchman
i-5EWQY4MzankacfQX5u2dhf,Q107012252,August Henrik Uno Wrede
i-5EwiiZJg4fayJqXsvpUwen,Q105470739,Hugo Landgren
i-5EwiiZJg4fayJqXsvpUwen,Q105470739,Hugo Kalima
i-5F8eYxpSorqm3726pUDx7r,Q107968776,Fredrik Wilhelm Hisinger
i-5FwsSwAvDRACpPTMoKfgoq,,Isak Höckert
i-5HQc6CAQGNSATTKMNeimw8,Q104376668,Karl Efraim Lilius
i-5HpoQg2YEKJzerzk9nBsRS,Q11885957,Osvald Wasastjerna
i-5JD6dgJt9dQKHWWoMp7Z8f,Q104815713,Fredrik Nauklér
i-5Jviq3qghZ9LsVGzeKvrnJ,Q400223,Karl Johan Carpelan
i-5Kur5pRwoDYFaCowM5g3qa,Q106936650,Viktor Nikolai Julius Thesleff
i-5MPjVAbwqdX7wpyfj7xs8w,Q107172256,Georg Mauritz von Christierson
i-5PcgiwA1qrtSSB6nygYn7e,Q58073058,Rudolf Erenius
i-5Q2w5YAnQMjbk4mGw6uPBA,Q105702511,Pekka Tiainen
i-5QyT7ZCgVopTZskW7iy7sW,Q17382239,Heikki Lindroos
i-5RucDd1MZYJPEREpx2wcm7,Q107337689,Carl von Schoultz
i-5T6AsSRhL77pTpiwR9N9i7,,Alexander Ferdinand Borenius
i-5TGtkJ2B6PNt9Twh6nvAo7,Q104578164,Axel Reinhold Cedercreutz
i-5TSspidDoU2K2pXp226J2p,Q6005343,Frithiof Neovius
i-5UZXZE7AgBvtFPnfZi5mE1,Q11902414,Wilhelm Snellman
i-5UumNNakiL8LoP3LGakghw,Q106932779,Constantin Runo Georg von Schoultz
i-5WNBVxJAEr72Fm2qc4LFrJ,Q104627607,Elias Hintsa
i-5WuVXuwKbML14xudb51yD9,Q17380292,Alexander Reinhold Frey
i-5X1QYE5wSq1vbEbT9M6276,Q104143752,Johan Fridolf Pipping
i-5ahKMDRNdvdeMdezNrmgyx,Q100799960,Matti E. Niemelä
i-5chqYNa8CF7yt72TUGFTui,,Knut Uno Axel Samuel von Troil
i-5dPrEEkSz1FYJNh3fKxGLP,Q106323662,Johan Henrik Alkunen
i-5eHaLb2EGdmTb7vsazDFDy,Q108082048,Adolf Vilhelm Boije af Gennäs
i-5eNgUi2sAeHaoks6DnibL3,Q5405068,Johan August von Essen
i-5eevwT5GCkMCS1gcqgfZj7,Q104551874,Claes Uggla
i-5g8WJnGMjg684X2dzwMr2J,Q11860045,Fredrik Sundwall
i-5jCKzdcZnraicuizSYLqn8,Q104247447,Karl Jakob Grönberg
i-5jV2htC8TMVgqFv2bZ6tQr,,Tobias Kirveskoski
i-5k9g3BpVLuXcY974wBrJ9i,Q106239253,Wilhelm Panelius
i-5kBUbZcc9W5nSQxVdQJc7R,Q104588847,Olof Cederström
i-5mY11xX6ZMjUz2PaHbNRcE,Q104995705,Niilo Kosonen
i-5mrB9FPRsk5QE1MSMJGM5v,Q100257960,Ivar Markus Tallgren
i-5p5n2oQzBFEtcLoN4697n7,,John Dahlström
i-5r31KKuptPPS63eWzMAseL,,Pehr Östring
i-5sfdpqYSfApKoQTFVJRDdT,Q107860644,Alfred Edgar Wasastjerna
i-5usRxb8stk7Y8Qfk8UTRrM,,Jonas Castrén
i-5wGgfoitFJgsHxGLJqKGy6,Q23040453,Herman Erik Gummerus
i-5wKk1hTdoAVXButE7JRL3D,Q64952323,Karl Efraim Carpelan
i-5wge6QMG7pAdkdDzz7CEBh,Q17382941,Matti Pietinen
i-5x5MsqkbUXuBNqHADgKPVE,Q11885871,Oskari Lagerstedt
i-61Jz1Z6FGtCX4vUxYn1Rwh,Q107201208,Karl August Magnus Henrik Granfelt
i-62zYc11vmzdw6bHmhWj6xv,Q103893624,Adolf Fredrik Josef von Kothen
i-63KqkF6arwqNKP67oDuFkp,Q106240914,Carl Fredrik Tojkander
i-65PsEP61dd8KH7gyeVHWxs,Q11865654,Jakob Henrik Roos
i-65SvLz3peJAS3GfKEa4Jst,,Evert Woldemar Walldén
i-65m2FMYgRq819LH5pjixSR,Q983185,Wilhelm Ramsay
i-669G58xkbnpQCsVJmoyWfs,Q58072856,Julius Immanuel Gummerus
i-66ymQwCreeuuTbu7QJYwGA,Q5923749,Lars Thiodolf Krogius
i-688qkpJ11dghzcz2Rj1Pdy,Q107751309,Edvard Robert Standertskjöld
i-69MYJUh7yg3VUNsWse5CGp,Q105337197,Matti Junnola
i-6C4mGB67MVbR8ENmP4bBSw,Q106967411,Carl Ragnar af Björkesten
i-6CvfviQxrE8gzQpx2tTXw9,Q11854130,Berndt Adolf Carl Gregori Aminoff
i-6D2GsjXreTSdsxx3MhRbND,Q106766158,Karl Wilhelm Bruncrona
i-6DQ2gWnq9MWyAb4m57Z2yL,Q100923107,Gabriel Wilhelm Cadenius
i-6DuVyuC7kS7QorVNngNDKr,Q23761409,Carl Gustaf Bergstedt
i-6FmesMshK9tPHWFPZiuwp4,,Karl Söderholm
i-6FpU4tS1g54mE21oZxEp2a,Q105636267,August Perho
i-6G56mBx8y9Bfr5Rh3Rq66j,,Johan Fredrik Aminoff
i-6G9DjpxbMbfYHpZqppkoPx,Q101063791,Arvid Thorsten Birger Genetz
i-6GNwMk6f9pw7tuuwdRfG1j,Q104084619,Henrik August Wrede
i-6JMZzaoy2STkFfwYc6v1gJ,Q17383987,Albert Stigzelius
i-6Jfe7SU8pTvVo7bFTk3ybs,Q105432166,Heikki Konttinen
i-6JybuhLJX5Qmzhe4hT7PER,Q106239250,Juho Pelkonen
i-6LsjDJLouE7qk6Fkq8dG5i,Q5494968,Theodor Lindh
i-6M2yxGPyaMkNbCjQXWFxZC,Q104627340,Juhana Himanen
i-6QaodWBmrEpquzk5z6vnMq,Q106906807,August Carl Adam Lagermarck
i-6RRNWfsAtFAXWdUseP8L1A,Q100799795,Arnold Melcher Berger
i-6Rx4DzZ1HhADPNH7Dp7Wbj,Q104551801,Bernt Gustaf Eneskjöld
i-6SJ36VSykGCui6DgBkXMAq,Q11854144,Bernhard Fredrik Godenhjelm
i-6TCZkDoXEcR3Vy4Jn85179,Q106323484,Martti Kiuru
i-6VyAJEjFPGqiGUkstGADAg,Q106705868,Frans Gustaf von Winther
i-6a435wsx4cWSjxtKhsztTp,Q2548588,Georg Magnus Sprengtporten
i-6bLoZWCJmwV4MoZ8ZV4ner,,Alfred Norrmén
i-6bp2LCwyEMQVzYLoeWF2Bh,Q104995593,Iisakki Arvo
i-6brmcd3QS7d2LaCGMdAQFt,,Georg Herman August Wärnhjelm
i-6cJ9tYpD4rnGXjRHqAXMfk,Q104550089,Johan Fredrik von Willebrand
i-6cVKRtrRY14WZnaUYWPh2Z,Q58073128,Josef Joakim Simelius
i-6cWDpivCCHx8nsC26q3ZfQ,Q5568264,Frans Josef von Becker
i-6cguaohonQAAXcVFakM5g1,Q104143737,Johan Alfred af Björksten
i-6eNAyWqvwVhwshqVaFpBzh,,Gustaf Viktor Eklund
i-6f9w8zr5djLvQDUEsC1Hgm,Q107172244,Gustaf Eckhard Maximilian af Enehjelm
i-6fQyo3ybLpsQGfLE4vh9wB,Q107797664,Alexis Fredrik Stewen-Steinheil
i-6hEw8csrknSfpmAmqBBvBK,Q105751967,Petter Sihvonen
i-6iTPdkYY4AY8UDvNKyak3d,Q105432338,Jaakko Hirvelä
i-6j68VR9CvfoQrbnp2hkgQP,,Jakob Mölsä
i-6mPTi6W3Yx2xNN2gsPwhPU,Q106323440,Juhana Kinttala
i-6qhz6MNjaSJf4k4yzP7rko,Q106766182,Tom Hjalmar Carpelan
i-6rnaskjzpKMmf1BKqf1dSH,Q78033717,Anton Elving
i-6s9yv9SowA7sBkJvmExQWV,,Theodor Homén
i-6suuzHSQU6bgefM53wxoHs,Q17383294,Juho Riihimäki
i-6uBc5itfkvswdCxwfNnXyC,Q17383673,Uno Saxén
i-6uGv5Py1DwPoEDrATVCYHQ,Q11860046,Fredrik Vilhelm Lagerstedt
i-6uejJqDBJbUVFdJWmQS9Sw,,Frans Arvid Snellman
i-6w8r6hg5F7TLkSZb8KcURb,,Antti Halonen
i-6wcYti4M8dnHXbFDVXC9t9,Q106967426,Alexander Kasimir Ehrnrooth
i-6wx4tZs3L9ZDfftTDUg18n,Q106906821,Lars Knut Prytz
i-73c2jZTBUrw8zLaqiXUvcc,Q108003411,Karl Johan Vilhelm Wadenstjerna
i-73dFa8UGNCPz6EYcxu2835,Q3136761,Lars Teodor von Hellens
i-75hgaLaGFamv4aEJpbukm5,Q104549861,Karl Arvid Krabbe
i-75pSkRZ6BxTGmjSBdZULLB,Q104549968,Salomon Jakob Finckenberg
i-75wZSbCtyaBEnWFzkpyG6b,,Karl Johan Edelsköld
i-761jFp8QFs1K22nsTyPrT4,Q11853353,August Fellman
i-762s2i38qoq51A37VdxZFK,Q101592349,Gustaf Ferdinand Snellman
i-76wvRLqhqAr39bzB2aNLry,,Gustaf Adolf Heman
i-7C59zrm2TZmNPtyGrwq2NH,Q104550039,Kristian Adolf Verner von Rehausen
i-7F4xdWsmn5h2gsuep9xE2v,Q11903167,Zefanias Suutarla
i-7Fgy1eMvbaMXrGoDJTECv5,Q4063673,Georg von Alfthan
i-7FxWCGCiKk7Yh2rkLEFLWs,Q5397177,Karl Fredrik Rotkirch
i-7JJadmn45jdfgAdP5VFGAs,Q105064084,Juho Foudila
i-7K1R7onuVdgtGFopJAhfsE,,Tuomas Heikki Härkönen
i-7KrXmr4tdja7Jebn558nct,Q105337189,Juho Jalkanen
i-7KxQWYRijD5jxcyYeme3uf,Q5784271,Mauritz Hallberg
i-7LoVr293hXMohtVqM8oqWd,Q104551835,Henrik Johan Kuhlefelt
i-7MRs7cG8FJFsYgLLz5KXpv,Q104995689,Pekka Ahokas
i-7Mf1FukvWxDMPMyr22NKEd,Q107860638,Axel Oskar Achates Standertskjöld
i-7PQtvWecq1Ua58ZFrCtdTC,Q65230522,Carl Anton Björnberg
i-7QMm6kT5xukuSszLwj596w,,Oskar Wasastjerna
i-7QPrpvHfP6MLkqYeqHy5Gv,,Johannes Bäck
i-7RZX2rBfyVw8kirWSuwLb2,Q110322284,Gustaf Karl Kullervo von Schoultz
i-7SPzgxv8ewS5Hc1tGVg42M,Q105943504,Ferdinand Lemström
i-7SQ3hodNG3Z6hKJE5kVA7k,Q55229314,Björn Rudolf Wasastjerna
i-7Su6x7tWfCt4Pzqof8GtE8,,Carl Johan Jägerhorn
i-7V9fMve5YNDUZciwzHQxXy,Q11859971,Frans Richard de la Chapelle
i-7WDqJ36fmBcNsdEcPvvoFQ,Q4357064,Heikki Renvall
i-7WN4oA9QrB6HTtmiqA8Wao,Q4491017,Carl von Knorring
i-7Wbnu64RFrVsQS3wmgmxW5,Q105069803,Kustaa Haali
i-7Xx35fG1eDWsJEU7FNDwuj,,Knut Robert Karl Walfrid Spåre
i-7Zm9aeNVo34bpWApDSSkmX,Q106543049,Alexander Aminoff
i-7ayx42GEfCQ4FXf5XqnXHe,Q5799108,Oskar von Hellens
i-7bYbzEpoHYojLQLfN2b2aa,Q105620583,Anton Mäkelä
