swerik_person_id,wikipedia_url
i-GzpPNMDrZaojKzMHrH7hRL,/wiki/Carl_Albert_Edelfelt
i-59t1pDS3froDd22WYonNXi,/wiki/Frans_Ivar_Edelheim
i-75wZSbCtyaBEnWFzkpyG6b,/wiki/Karl_Johan_Edelsk%C3%B6ld
i-ModpSX4t69XxAKF7ekgvVg,/wiki/Adolf_Reinhold_Viktor_Ehrnrooth
i-GoQD4F6MiFcS9Vsdx3gqMW,/wiki/Carl_Albert_Ehrnrooth
i-SbX61wokaS67ghtHrcjkgQ,/wiki/Gustaf_Robert_Ehrnrooth
i-Hsg38DD9aZavnt2BE6R92w,/wiki/Alexander_Felix_Carl_Ekestubbe
i-5eNgUi2sAeHaoks6DnibL3,/wiki/Johan_August_von_Essen
i-U1QRavA17bQzD48LdLt1tY,/wiki/Arvid_Adolf_Ethol%C3%A9n
i-Tnx7FYE9hZfG2QfvLnTU8p,/wiki/Constantin_von_Fieandt
i-2GsZ4BooHWCQvrdPTMX1GL,/wiki/Karl_Viktor_Hjalmar_af_Forselles
i-GWGMuHZpB7JtXsedCoRVmg,/wiki/Pehr_Emil_af_Forselles
i-EhL4uM3sUHy8VUCoYi78as,/wiki/Fredrik_Wilhelm_Fraser
i-RZhydE7SX8RvSkiFoBh92E,"/wiki/Harald_Victor_Wilhelm_Furuhjelm"" class=""mw-redirect"
i-ZnoS9yNyJZCCCXuCn8DK7,/wiki/Otto_Vilhelm_Furuhjelm
i-JzQyA5cExy8sPWRDBUypL9,/wiki/Otto_Robert_Claes_Gustaf_von_Gertten
i-BkfYGrQhuNkoLkYwAJNYb4,/wiki/Otto_Fabian_Nimrod_Granfelt
i-Wo1jXQwtCLaoqebdZA4xi6,/wiki/Achates_Ferdinand_Gripenberg
i-7xojrwYzrjfB1sGMS95KXK,/wiki/Carl_August_Edvard_Gripenberg
i-VSjkKAAk1uTMFyXiJQ65Ef,/wiki/Johan_Fredrik_Sebastian_Gripenberg
i-WXevWjzNj6QC87KLVY3her,/wiki/Johan_Ulrik_Sebastian_Gripenberg
i-PakNJPLNiG83PD1Hqsszw6,/wiki/Adolf_Grotenfelt
i-V83jHaR3m6wSP1r1K3RJJ5,/wiki/Nils_Karl_Elias_Grotenfelt
i-H9suhRqqUHcPS6rkKze2ao,/wiki/Alfons_Jer%C3%B4me_von_Haartman
i-3AtCF9sv6EHtjCstTrjHpC,/wiki/Victor_von_Haartman
i-J1rpecNsAtKm6tYwewGWk,/wiki/Eduard_Hisinger
i-5F8eYxpSorqm3726pUDx7r,/wiki/Fredrik_Wilhelm_Hisinger
i-RqnKaG4Hk193aoEnE7oY7w,/wiki/Robert_Emil_Hisinger
i-HHaCYxvtqi5749rN5jgDix,/wiki/Gustaf_Alfred_af_H%C3%A4llstr%C3%B6m
i-XJR7uevATUzzKS5t9xJQnw,/wiki/Teodor_Carl_Josef_H%C3%A4stesko_af_M%C3%A5lag%C3%A5rd
i-Xe1yf2mfG5iEJKnJNPsqPs,/wiki/Bernhard_Indrenius
i-Eh11pSQN15vwedriURK4FD,/wiki/Blechard_Gustaf_J%C3%A4gerhorn
i-3yL9ZeppZFT8EE4mKY6xtA,/wiki/Carl_Johan_J%C3%A4gerhorn
i-DLrya1y4fvPTxo19ycSwui,/wiki/Gustaf_Magnus_Leonard_J%C3%A4gerski%C3%B6ld
i-FAdnQV2mavJ2UwNm5JjbBX,/wiki/Krister_Ludvig_Reinhold_J%C3%A4gerski%C3%B6ld
i-FRTXNM8bWSfv4EVgWqYu9h,/wiki/August_Fredrik_J%C3%A4rnefelt
i-DFYQrVEmnc2KccuuDpq1ib,/wiki/Artur_Emil_Vilhelm_Klinckowstr%C3%B6m
i-AufWqe4gwH5wra4K3X99qW,/wiki/Fredrik_Jonas_Klingstedt
i-X2qn6TAe9gTfibhdeaJgEc,/wiki/Eugen_von_Knorring
i-EBLg4rQKzZ3b6Eg9w5vKHX,/wiki/Johan_Emil_von_Konow
i-2TXUUfxhbM1mKyn8oqUGzY,/wiki/Oskar_Reinhold_Vilhelm_von_Konow
i-62zYc11vmzdw6bHmhWj6xv,/wiki/Adolf_Fredrik_Josef_von_Kothen
i-NkQqrLFDbfL6PHpgSiTkBZ,/wiki/Mauritz_Ferdinand_von_Kothen
i-SofurPRw3EL6yyFJXakZd3,/wiki/Axel_Henning_Krabbe
i-K86LqYNUZQWYEpnoZYStrW,"/wiki/Carl_Gustaf_Mortimer_von_Kraemer"" class=""mw-redirect"
i-3HAnjNFH5KjSBTNKDd3TXb,/wiki/Johan_August_Ferdinand_Kuhlefelt
i-RbShaK3GemTXX3EKJNmQqN,"/wiki/Robert_Olof_Lagerborg"" class=""mw-redirect"
i-TTJ6BfyGcHTAc3wu7ASwci,/wiki/Ernst_Linder_(poliitikko)
i-RBMv4NKJqVbMmhQsYSdbLb,/wiki/Constantin_Linder
i-WF8BWGJBsroMfDPtmAkEZt,/wiki/Fridolf_Linder
i-Gu51hjRVWb7M565rBVU8jz,/wiki/Georg_Henrik_Lybecker
i-G4Mx6CSAhZT1Ty3hcwy1We,/wiki/August_Mannerheim
i-9fpoHmFM6CjhEHuaVzbMqT,/wiki/Carl_Robert_Mannerheim
i-9MPizvkX1LoAoUhNc7DgND,/wiki/Berndt_Gustaf_Mellin
i-HrQR6nbHQayyFAXaYKpTtt,/wiki/Karl_Gustaf_Johan_Mellin
i-39HLCE9yBTZGgTmRXc8MV4,/wiki/Clas_Herman_Molander
i-4yJxJNJJ1BwQYoDiqLucKJ,/wiki/Robert_Montgomery
i-GeYLFa2rDbdF171XpfngZK,/wiki/Johan_Reinhold_Munck
i-SU2n35iQoWZU6ahNBi2tN9,/wiki/Karl_Fredrik_Munck
i-WGFFutszVVq2r6eHmqYcyB,/wiki/Knut_Munck
i-GB2XZda45FyKVanRwMkJ38,/wiki/Anders_Lorenz_Munsterhjelm
i-ADfVS7eRk52CEC91t8k4DD,/wiki/August_von_Nandelstadh
i-XqM7pnUo7aV7Yxy3ZM6vyP,/wiki/Reinhold_Peter_Nasacken
i-HF5phfP7sjX4wA6bTBzzPq,"/wiki/Clas_Gabriel_Nordenheim"" class=""mw-redirect"
i-8gBsTMzJRwtbuFPKfppaoz,/wiki/Karl_Adolf_Nordenski%C3%B6ld
i-MEgwJwDM4mwi6wmXsCMYJx,/wiki/Nils_Otto_Nordenski%C3%B6ld_(valtiop%C3%A4iv%C3%A4mies)
i-VDpx7vFjSL3NsTqo3roC5x,/wiki/Johan_Mauritz_Nordenstam
i-YYiFaxFNLAJM5W3icpS97q,/wiki/Georg_Nordenswan
i-9WxSZn2XaTPYpzCwu6SqF4,/wiki/Hugo_Kasimir_Nordenswan
i-DxNP7TqQrEfxpsG7AMg3V2,/wiki/Boris_Nordmann
i-FfS48taDhdyhLbaL7izam6,/wiki/Wilhelm_von_Nottbeck
i-BtSnmoZRRAQCGZifMmfTuu,/wiki/Axel_Gustaf_August_Palmfelt
i-R3sJekkutyVdAe6K3GTP3c,"/wiki/Nils_Henrik_Pinello"" class=""mw-redirect"
i-XXg2bmhEiXiYrETYEK6PnU,/wiki/Fredrik_Josef_Pipping
i-5X1QYE5wSq1vbEbT9M6276,/wiki/Johan_Fridolf_Pipping
i-T6mMFVzHVrVXYdjMx43gXd,/wiki/Josef_Adam_Joakim_Pippingsk%C3%B6ld
i-GVT7x8Nt5F7JZsu1Dte2fk,/wiki/Georg_Fredrik_Pistolekors
i-3LrbQCv9wyK5t5xguHtg9N,/wiki/Lars_Olof_Prytz
i-DowNYFPp5EFuyJj5pim8KZ,/wiki/Fredrik_Wilhelm_Hugo_von_Qvanten
i-FjKyUtcoFwK8FSRaLwa4qr,/wiki/Alexander_Wolter_Ramsay
i-EyCwcgnc6m1fa5U2bKaFXx,/wiki/Georg_Edvard_Ramsay
i-7C59zrm2TZmNPtyGrwq2NH,/wiki/Kristian_Adolf_Verner_von_Rehausen
i-Ua1DB2ZaQu82Pj2Kg6ibbJ,/wiki/Bernt_Reinhold_Alfred_Rehbinder
i-RBWCuLg8kwt5DsDhYULC5s,/wiki/Gabriel_Rein
i-DXP9WxpJAbmvBWP4QoWY25,/wiki/Maximilian_von_Rosenkampff
i-N2fRatMiRmLEhFJUaMqMBg,/wiki/Gustaf_Fredrik_Rotkirch
i-EucvstvmVvA33AJNrw2FH5,/wiki/Lars_August_Sackleen
i-At8UeWaVLSrVHh5pXGXtHY,/wiki/Johan_Eberhard_von_Schantz
i-WxkgwPxqMpjFtfmAZTrx6L,/wiki/Johan_Gustaf_Schatelowitz
i-TpRRxpwrPivaPab2rTZrGQ,/wiki/Berndt_Otto_Schauman
i-GsTBuxn4gzdp2YPxq2CF9t,/wiki/August_Schauman
i-XCD42yBHNtQaD6vrHPaNvi,/wiki/Wolmar_Schildt
i-TCQs5DXsZFoCfJSdbFZHQZ,/wiki/Constantin_Nils_Lorenz_von_Schoultz
i-8MwNLaJBXu8nAdT6Gqr8nk,/wiki/Johan_Henrik_von_Schrowe
i-WGy8Gw4oVSFx1b6GQHaCUq,/wiki/Karl_Leonard_Schulman
i-8mJQ5wHCNAfbcEDejmorgK,/wiki/Otto_Reinhold_af_Schult%C3%A9n
i-GVmiogSqRJqrVWCPcrDgDe,/wiki/Johan_Gustaf_Emil_Segercrantz
i-BAsdkUAfynNL2Jzg6L3dJP,/wiki/G%C3%B6ran_Erik_Axel_Silfverhjelm
i-2XhKnDrvwR1osJ5ryzubot,/wiki/Gustaf_Johan_Silfversvan
i-9ny5NiSBTsXytTLwVXN882,/wiki/Karl_Vilhelm_Sp%C3%A5re
i-H2an9aPsfB63H9UWpycjdo,/wiki/Gustaf_Adolf_Sp%C3%A5re
i-juGUGYJwp7mX3MQnhUEoq,/wiki/Knut_Robert_Karl_Walfrid_Sp%C3%A5re
i-8c2MfRHZBR9TdrUpFoRdqL,/wiki/Johan_Fredrik_Vilhelm_Standertskj%C3%B6ld
i-Kus6bVi2TaGnJ2PW3eiN7H,/wiki/Johan_Wilhelm_Stjernschantz
i-VktczYTWMxgfGa6SKm38YK,/wiki/Curt_Gustaf_Stjernvall
i-S4GmUj8rHy9f5UtwUyzeuT,/wiki/Fridolin_Stjernvall
i-UCUeNRpau2VHAPSPtoTzs4,/wiki/Otto_Robert_Vilhelm_Tandefelt
i-QcsjR5Y3EcAYrfuf6exqd2,/wiki/Johan_Reinhold_Taube
i-YNSR4DwCvFByG8KLNWZfMu,/wiki/Carl_Johan_Tawaststjerna
i-UExNr1vRKnTpzE5pqzv3ir,/wiki/Karl_Gustaf_Teetgren
i-PHhNjXUhesTG1v74LgJRHM,/wiki/Alexander_August_Thesleff
i-DDgKtyukp5C3sUFLMZ19u8,/wiki/Nikolai_Alexander_Thesleff
i-WDzfUFdb8g6zrgyW2rE1KR,/wiki/Gustaf_Tigerstedt
i-MQzMznpRQBMmbXktLvAN9k,/wiki/Samuel_Werner_von_Troil_(vanhempi)
i-LzdgEat3rhCADgx5cR1LSS,/wiki/Johan_Ulrik_von_T%C3%B6rne
i-AcadzVECTWqSPpXBg9Ceq7,/wiki/Adolf_T%C3%B6rngren_(vanhempi)
i-DuP59aJVbyCScuE2XG7BeY,/wiki/Pehr_Jonas_T%C3%B6rnqvist
i-HFSaJChwMy6H3kcVHoj1mX,/wiki/Johan_Knut_Valdemar_Uggla
i-W9tJUpUq8nWxoZLkPDM5da,/wiki/Nils_af_Ursin_(1819%E2%80%931867)
i-BrZ1PXPwfSSdCK1yGsSzYn,/wiki/Vladimir_Alfons_Walleen
i-NwG25Q1tZQAtUqrP7VkCNr,/wiki/Adolf_Waldemar_Wallensk%C3%B6ld
i-XdrX5sz6KhUNL37CYm7mKb,/wiki/Edvin_Gideon_Wasastjerna
i-BCmnuEz5aJnzUHzf4jVQdx,/wiki/Gustaf_August_Wasastjerna
i-8n3nuTnzCqgxrCTWwYq1yu,/wiki/Jakob_Viktor_Wasastjerna
i-ABDvGmsKHsoRMRCJLhfgDu,/wiki/Selim_Osvald_Wasastjerna
i-7QMm6kT5xukuSszLwj596w,"/wiki/Oskar_Wasastjerna"" class=""mw-redirect"
i-8tpmjoLjCwAvg1Z16Ymcr,/wiki/Alexander_von_Weissenberg
i-MzVQxM4xkNeBUq7eq6vH9k,/wiki/Alexander_Jakob_von_Wendt
i-JYV4L97nkaAD1tqh4XNee,/wiki/August_Reinhold_von_Willebrand
i-MMyFhhMEvCjmcwSBsfMJk1,/wiki/Ernst_Carl_Adolf_von_Willebrand
i-3JveTGquCFAK9y99eTAdvd,/wiki/Ernst_Johan_von_Willebrand
i-TYyoxCt17RVmpDAFKWJW3u,/wiki/Felix_von_Willebrand
i-N7AHCqt7u3nWVNMBEE8SaY,/wiki/Alexander_August_Peter_Wrede_af_Elim%C3%A4
i-P68mLaom1qo4nAwfyux1WP,/wiki/Rabbe_Zakarias_Wrede
i-Fiig8BDMNpZQK8Za9ST51D,/wiki/Vilhelm_Otto_Casper_David_Wrede
i-Gszfg34rDxE1wvwMWnuEcr,/wiki/Magnus_von_Wright
i-Tzqw5o3k7StUR6PUjM45kG,/wiki/Herman_Georg_Maria_W%C3%A4rnhjelm
i-48AqtYkQm7rn9USzASaSM8,/wiki/Ernst_Emil_Vilhelm_W%C3%A4rnhjelm
i-AoDGaMXUxZPU84yZTfL3Xc,/wiki/Fredrik_Ernst_Gottlieb_von_Zansen
i-TDorJwip9wZw86wKUvrc6g,/wiki/Petter_Akola
i-Fbfm1HbZePHYVTAZTJf59L,/wiki/Aleksanteri_Arvelin
i-4LUY2WFbrHNXdXqurbMDvB,/wiki/Anders_Blomqvist
i-182iQaw41tqTySDbhb38Sp,/wiki/Juho_Brusila
i-C5N8HQPmJLpinDQjyVTdbJ,/wiki/Salomon_Ek
i-DojZ8qEG6LjbJsjZJ6xe4k,/wiki/Jarl_August_Hagelstam
i-QQY41pDJEC5sc6i2RxR4Hf,/wiki/Karl_Henrik_Hagman
i-QGPtDAH1rAzUX1zyuF6Zjh,/wiki/Antti_Haikonen_(valtiopäivämies)
i-4vvviq517v7pCxu8qKbktJ,/wiki/Mikko_Heikura
i-QXBKraZHyPiE9z35xJ7hrQ,/wiki/Matti_Holma
i-UMDgoutWEYApG28pbuoncb,/wiki/Juhana_Katina
i-Kcb1kFVpQpDq61XMj9K7iG,/wiki/Heikki_Kauranen
i-2TJ9oUcw4dzh1P1QpjGfP7,/wiki/Johan_Erik_Keto
i-6TCZkDoXEcR3Vy4Jn85179,/wiki/Martti_Kiuru
i-PNHAmRdMEAf83M9VATEtRt,/wiki/Erkki_Klami
i-6Jfe7SU8pTvVo7bFTk3ybs,/wiki/Heikki_Konttinen_(valtiopäivämies)
i-Pn84JtGdutpdSwxbgQUoER,/wiki/Juho_Kotilainen
i-17rHdCAokyZJRHvnBtWfiy,/wiki/Matti_Kulkas
i-Wm7PMNz5UBwoc7LvenHUrr,/wiki/Petter_Kumpulainen
